0,1,2,3,4,5,6
Combined Group Management Report  →  Appendix to the Sustainability Statement,,,,,Contents,"Search 
 
  Back"
Disclosure Requirement and,SFDR reference1,Pillar 3 reference2,Benchmark Regulation,EU Climate Law reference4,Reference,
related datapoint,,,reference3,,,
"ESRS E1-4 GHG emission reduction 
 
targets paragraph 34",Indicator number 4 Table #2 of Annex 1    Article 449a,Regulation (EU) No 575/2013;,"Delegated Regulation (EU) 
2020/1818, Article 6",,→ Climate Protection: Goals and,"Performance Review, Specific Actions"
,,"Commission Implementing Regulation 
(EU) 2022/2453 Template 3: Banking",,,,
,,"book – Climate change transition risk: 
alignment metrics",,,,
"ESRS E1-5 Energy consumption from 
 
fossil sources disaggregated by sources","Indicator number 5 Table #1 and 
 
Indicator n. 5 Table #2 of Annex 1",,,,"→ Climate Protection: Progress and 
Measures",
"(only high climate impact sectors) 
paragraph 38",,,,,,
"ESRS E1-5 Energy consumption and 
 
mix paragraph 37",Indicator number 5 Table #1 of Annex 1,,,,"→ Climate Protection: Progress and 
Measures",
"ESRS E1-5 Energy intensity associated 
 
with activities in high climate impact",Indicator number 6 Table #1 of Annex 1,,,,"→ Climate Protection: Progress and 
Measures",
sectors paragraphs 40 to 43,,,,,,
"ESRS E1-6 Gross Scope 1, 2, 3 and 
 
Total GHG emissions paragraph 44","Indicators number 1 and 2 Table #1 of 
Annex 1","Article 449a; Regulation (EU) No 
575/2013; Commission Implementing","Delegated Regulation (EU) 
2020/1818, Article 5(1), 6 and 8(1)",,"→ Climate Protection: Progress and 
Measures",
,,"Regulation (EU) 2022/2453 Template 
1: Banking book – Climate change",,,→ Appendix to the Sustainability,Statement: Information in accordance
,,"transition risk: Credit quality of 
exposures by sector, emissions and",,,48,with ESRS E1 Application Requirement
,,residual maturity,,,,
"ESRS E1-6 Gross GHG emissions 
 
intensity paragraphs 53 to 55","Indicators number 3 Table #1 of  
Annex 1","Article 449a Regulation (EU) No 
575/2013; Commission Implementing","Delegated Regulation (EU) 
2020/1818, Article 8(1)",,"→ Climate Protection: Progress and 
Measures",
,,"Regulation (EU) 2022/2453 Template 
3: Banking book – Climate change",,,,
,,transition risk: alignment metrics,,,,
"ESRS E1-7 GHG removals and carbon 
 
credits paragraph 56",,,,"Regulation (EU) 2021/1119,  
Article 2(1)","→ Climate Protection: Progress and 
Measures",
"ESRS E1-9 Exposure of the benchmark 
 
portfolio to climate-related physical",,,"Delegated Regulation (EU) 
2020/1818, Annex II Delegated",,In Regulation,"No reporting in 2024, use of the Phase-"
risks paragraph 66,,,"Regulation (EU) 2020/1816, Annex II",,,
"ESRS E1-9 Disaggregation of monetary 
 
amounts by acute and chronic physical",,"Article 449a Regulation (EU) No 
 
575/2013; Commission Implementing",,,In Regulation,"No reporting in 2024, use of the Phase-"
"risk paragraph 66 (a) 
ESRS E1-9 Location of significant",,"Regulation (EU) 2022/2453 paragraphs 
46 and 47; Template 5: Banking book -",,,,
"assets at material physical risk 
paragraph 66 (c).",,"Climate change physical risk: Exposures 
subject to physical risk.",,,,
"ESRS E1-9 Breakdown of the carrying 
 
value of its real estate assets by",,"Article 449a Regulation (EU) No 
 
575/2013; Commission Implementing",,,In Regulation,"No reporting in 2024, use of the Phase-"
"energy-efficiency classes  
paragraph 67 (c).",,"Regulation (EU) 2022/2453 paragraph 
34; Template 2:Banking book -Climate",,,,
,,"change transition risk: Loans 
collateralised by immovable property -",,,,
,,Energy efficiency of the collateral,,,,
"ESRS E1-9 Degree of exposure of the 
 
portfolio to climate-related",,,"Delegated Regulation (EU) 
2020/1818, Annex II",,In Regulation,"No reporting in 2024, use of the Phase-"
opportunities paragraph 69,,,,,,
E.ON Integrated Annual Report 2024,,,,,,114
