0,1,2,3
Combined Group Management Report  →  Appendix to the Sustainability Statement,,,"Contents 
 
  Search 
 
  Back"
"Disclosure Requirement and 
  SFDR reference1 
  Pillar 3 reference2",Benchmark Regulation,EU Climate Law reference4,Reference
related datapoint,reference3,,
"ESRS E2-4 Amount of each pollutant 
 
Indicator number 8 Table #1 of Annex 1 
 
 
listed in Annex II of the E-PRTR 
Indicator number 2 Table #2 of Annex 1",,,"ESRS E2 was not identified as material. 
Disclosures on ESRS E2-4 are therefore"
"Regulation (European Pollutant Release 
Indicator number 1 Table #2 of Annex 1 
and Transfer Register) emitted to air, 
Indicator number 3 Table #2 of Annex 1",,,not reported.
"water and soil, paragraph 28",,,
"ESRS E3-1 Water and marine resources 
Indicator number 7 Table #2 of Annex 1  
 
paragraph 9",,,"ESRS E3 was not identified as material. 
Disclosures on ESRS E3-1 are therefore"
,,,not reported.
"ESRS E3-1 Dedicated policy  
 
Indicator number 8 Table 2 of Annex 1 
 
 
paragraph 13",,,"ESRS E3 was not identified as material. 
Disclosures on ESRS E3-1 are therefore"
,,,not reported.
"ESRS E3-1 Sustainable oceans and seas 
Indicator number 12 Table #2 of  
 
 
paragraph 14 
Annex 1",,,"ESRS E3 was not identified as material. 
Disclosures on ESRS E3-1 are therefore"
,,,not reported.
"ESRS E3-4 Total water recycled and 
 
Indicator number 6.2 Table #2 of  
 
 
reused paragraph 28 (c) 
Annex 1",,,"ESRS E3 was not identified as material. 
Disclosures on ESRS E3-4 are therefore"
,,,not reported.
"ESRS E3-4 Total water consumption in 
 
Indicator number 6.1 Table #2 of  
 
 
m3 per net revenue on own operations 
Annex 1",,,"ESRS E3 was not identified as material. 
Disclosures on ESRS E3-4 are therefore"
paragraph 29,,,not reported.
"Indicator number 7 Table #1 of  
 
 
ESRS 2- SBM-3 - E4 paragraph 16 (a) i 
Annex 1",,,"ESRS E4 was not identified as material. 
Disclosures on ESRS E4 paragraph 16"
,,,(a) i are therefore not reported.
"Indicator number 10 Table #2 of  
 
 
ESRS 2- SBM-3 - E4 paragraph 16 (b) 
Annex 1",,,"ESRS E4 was not identified as material. 
Disclosures on ESRS E4 paragraph 16"
,,,(b) are therefore not reported.
"ESRS 2- SBM-3 - E4 paragraph 16 (c) 
 
Indicator number 14 Table #2 of  
 
 
Annex 1",,,"ESRS E4 was not identified as material. 
Disclosures on ESRS E4 paragraph 16"
,,,(c) are therefore not reported.
"ESRS E4-2 Sustainable land / 
 
Indicator number 11 Table #2 of  
 
 
agriculture practices or policies 
Annex 1",,,"ESRS E4 was not identified as material. 
Disclosures on ESRS E4-2 are therefore"
paragraph 24 (b),,,not reported.
"ESRS E4-2 Sustainable oceans / seas 
 
Indicator number 12 Table #2 of  
 
 
practices or policies paragraph 24 (c) 
Annex 1",,,"ESRS E4 was not identified as material. 
Disclosures on ESRS E4-2 are therefore"
,,,not reported.
"ESRS E4-2 Policies to address 
 
Indicator number 15 Table #2 of  
 
 
deforestation paragraph 24 (d) 
Annex 1",,,"ESRS E4 was not identified as material. 
Disclosures on ESRS E4-2 are therefore"
,,,not reported.
"ESRS E5-5 Non-recycled waste 
 
Indicator number 13 Table #2 of  
 
 
paragraph 37 (d) 
Annex 1",,,"ESRS E5 was not identified as material. 
Disclosures on E5-5 are therefore not"
,,,reported.
"ESRS E5-5 Hazardous waste and 
 
Indicator number 9 Table #1 of Annex 1  
 
radioactive waste paragraph 39",,,"ESRS E5 was not identified as material. 
Thus, disclosures on E5-5 are therefore"
,,,not reported.
E.ON Integrated Annual Report 2024,,,115
