0,1,2,3,4,5
CSRD Topic1,CSRD Disclosure requirement,Other EU legislation2,Reference,Pages3,Assurance level
ESRS S2,Disclosure Requirement related to ESRS 2 SBM-2 Interests and views of stakeholders,,"Governance: Working with stakeholders and advocacy
ESG governance, strategy and policies: Strategy","54
170",Limited Assurance
Workers in the value,,,"Workforce of the future: Total Workforce Strategy
Supplier Sustainability & Workers in the value chain: Stakeholder","216
234",
chain,,,dialogs and multi-stakeholder initiatives,,
,"Disclosure Requirement related to ESRS 2 SBM-3 Material impacts, risks and opportunities 
and their interaction with strategy and business model",SFDR,"Governance: Working with stakeholders and advocacy
ESG governance, strategy and policies: Strategy","54
170","Reasonable 
Assurance"
,,,"Sustainability statement: IRO Table
Workforce of the future: Total Workforce Strategy","174
216",
,Disclosure Requirement S2-1 – Policies related to value chain workers,SFDR/BRR,"Double Materiality Assessment: Policy Overview
Supplier Sustainability & Workers in the value chain: Policies and","180
228","Reasonable 
Assurance"
,,,Standards,,
,"Disclosure Requirement S2-2 – Processes for engaging with value chain workers about 
impacts",,"Supplier Sustainability & Workers in the value chain: Stakeholder 
dialogs and multi-stakeholder initiatives",234,Limited Assurance
,Disclosure Requirement S2-3 – Processes to remediate negative impacts and channels for,1,Supplier Sustainability & Workers in the value chain: Selection and,230,Limited Assurance
,value chain workers to raise concerns,,"classification
Supplier Sustainability & Workers in the value chain: Governance",234,
,,,and Grievance mechanisms,,
,"Disclosure Requirement S2-4 – Taking action on material impacts on value chain workers, 
and approaches to managing material risks and pursuing material opportunities related to",SFDR,"Supplier Sustainability & Workers in the value chain
Supplier Sustainability & Workers in the value chain: Actions and","228
228",Limited Assurance
,"value chain workers, and effectiveness of those actions","2,3",resources in relation to Workers in the value chain,,
,"Disclosure Requirement S2-5 – Targets related to managing material negative impacts, 
advancing positive impacts, and managing material risks and opportunities",,"Sustainability statement: Tracking our 2025 ESG program
Supplier Sustainability & Workers in the value chain: Results","166
231",Limited Assurance
