0,1,2,3,4
ESRS STANDARD,DISCLOSURE REQUIREMENT,PHASE-IN,"INCORPORATION 
BY REFERENCE",PAGE
,Strategy,,,
,S3 SBM-2 Interests and views of stakeholders,,,202
,"S3 SBM-3 Material impacts, risks and opportunities and their interaction with 
strategy and business model",,,202
,"Impact, risk and opportunity management",,,
,MDR-P Minimum policy reporting requirement,,,318
,S3-1 Policies related to affected communities,,,318
S3 Affected,S3-2 Processes for engaging with affected communities about impacts,,,320
communities,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",,,285; 320
,MDR-A Minimum action reporting requirement,,,320
,"S3-4 Taking action on material impacts on affected communities, and 
approaches to managing material risks and pursuing material opportunities",,,320
,"related to affected communities, and effectiveness of those actions",,,
,Metrics and targets,,,
,MDR-T Minimum measurable target reporting requirement,,,322
,"S3-5 Targets related to managing material negative impacts, advancing positive 
impacts, and managing material risks and opportunities",,,322
,Strategy,,,
,S4 SBM-2 Interests and views of stakeholders,,,203
,"S4 SBM-3 Material impacts, risks and opportunities and their interaction with 
strategy and business model",,,203
,"Impact, risk and opportunity management",,,
,MDR-P Minimum policy reporting requirement,,,323
,S4-1 Policies related to consumers and end users,,,323
S4 Consumers,S4-2 Processes for engaging with consumers and end users about impacts,,,324
and end users,"S4-3 Processes to remedy negative impacts and channels for consumers and 
end users to raise concerns",,,285; 325
,MDR-A Minimum action reporting requirement,,,325
,"S4-4 Taking action on material impacts on consumers and end users, and 
approaches to managing material risks and pursuing material opportunities",,,325
,"related to consumers and end users, and effectiveness of those actions",,,
,Metrics and targets,,,
,MDR-T Minimum measurable target reporting requirement,,,327
,"S4-5 Targets related to managing material negative impacts, advancing positive 
impacts, and managing material risks and opportunities",,,327
Governance information,,,,
,Governance,,,
,"G1 GOV-1 The role of the administrative, management and supervisory bodies",,,206
,"Impact, risk and opportunity management",,,
,"G1 IRO-1 Description of the processes to identify and assess material impacts, 
risks and opportunities",,,203
,MDR-P Minimum policy reporting requirement,,,"329; 339; 
341"
G1 Business,G1-1 Corporate culture and business conduct policies,,,329
conduct,MDR-A Minimum action reporting requirement,,,"329; 339; 
341"
,G1-2 Management of relationships with suppliers,,,339
,G1-3 Prevention and detection of corruption and bribery,,,341
,Metrics and targets,,,
,MDR-T Minimum measurable target reporting requirement,,,347
,G1-4 Incidents of corruption or bribery,,,347
,G1-6 Payment practices,,,348
