0,1,2,3
REFERENCE TABLE CONTINUED,,,
Disclosure number,Disclosure requirement,Section reference,Explanation
Climate change (ESRS E1),,,
E1.SBM-3,"Material impacts, risks and opportunities, and their interaction with strategy and business model","Pages 73, 75, 74",
E1-1,Transition plan for climate change mitigation,"Pages 74, 75, 76",
E1.IRO-1,"Description of the processes to identify and assess material climate-related impacts, risks and 
opportunities","Pages 74, 73, 64",
E1-2,Policies related to climate change mitigation and adaptation,"Pages 75, 74",
E1-3,Actions and resources in relation to climate change policies,"Pages 75, 73, 76, 96",
E1-4,Targets related to climate change mitigation and adaptation,Page 76,
E1-5,Energy consumption and mix,Page 76,
E1-6,Gross GHG emissions,Page 76,
Entity-specific,Climate change company-specific metrics,Page 79,
Own workforce (ESRS S1),,,
S1-1,Policies related to own workforce,"Pages 80, 81",
S1-2,Processes for engaging with own workforce and workers’ representatives about impacts,Page 80,
S1-3,Processes to remediate negative impacts and channels for own workforce to raise concerns,Page 81,
S1.SBM-3,"Material impacts, risks and opportunities, and their interaction with strategy and business model","Pages 81, 83, 87",
S1-4,"Taking action on material impacts on own workforce, and approaches to managing material risks 
and pursuing material opportunities related to own workforce, and effectiveness of actions","Pages 81, 83, 87",
S1-5,"Targets related to managing material negative impacts, advancing positive impacts and managing 
material risks and opportunities","Pages 82, 84, 87",
S1-6,Characteristics of the undertaking’s employees,"Pages 82, 85",
S1-7,Characteristics of non-employee workers in our own workforce,Page 85,
S1-9,Diversity metrics,Page 85,
S1-13,Training and skills development metrics,Page 87,"Phased-in option used for DR83, in line with 
ESRS 1 Appendix C: List of phased-in"
,,,Disclosure Requirements.
S1-15,Work-life balance metrics,Page 82,
S1-16,Remuneration metrics (pay gap and total compensation),Page 85,
Entity-specific,Other own workforce company-specific metrics,Page 87,
Business conduct (ESRS G1),,,
G1-1,Business conduct policies and corporate culture,"Pages 89, 81",
G1.SBM-3,"Material impacts, risks and opportunities, and their interaction with strategy and business model","Pages 89, 92",
Entity-specific,Business conduct company-specific metrics,"Pages 90, 91, 92",
