0,1,2,3,4
SECTION,TOPIC,SUB-TOPIC - SUB-SUB-TOPIC,DISCLOSURE REQUIREMENT,PAGE NUMBER
"Social 
information",ESRS S1 Own workforce,"Equal treatment and opportunities 
for all - Measures against violence 
and harassment in the workplace",ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S1-1 Policies related to own workforce,276
,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279
,,,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and 
effectiveness of those actions and approaches",280
,,,"S1-5 Targets related to managing material impacts, advancing positive impacts, 
as well as to risks and opportunities",284
,,,S1-6 Characteristics of the Undertaking’s Employees,285
,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287
,,,"S1-17 Incidents, complaints and severe human rights impacts",290
,,"Equal treatment and opportunities 
for all - Diversity",ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S1-1 Policies related to own workforce,276
,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279
,,,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and 
effectiveness of those actions and approaches",280
,,,"S1-5 Targets related to managing material impacts, advancing positive impacts, 
as well as to risks and opportunities",284
,,,S1-6 Characteristics of the Undertaking’s Employees,285
,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287
,,,S1-9 Diversity metrics,288
,,,"S1-17 Incidents, complaints and severe human rights impacts",290
,,Other work-related rights - Privacy,ESRS 2 SBM-2 Interests and views of stakeholders,153
,,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction 
with strategy and business model",155
,,,S1-1 Policies related to own workforce,276
,,,"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",279
,,,"S1-4 Taking action on material impacts and approaches to mitigating material 
risks and pursuing material opportunities related to own workforce, and 
effectiveness of those actions and approaches",280
,,,"S1-5 Targets related to managing material impacts, advancing positive impacts, 
as well as to risks and opportunities",284
,,,S1-6 Characteristics of the Undertaking’s Employees,285
,,,"S1-7 Characteristics of non employee workers in the undertaking’s own 
workforce",287
,,,"S1-17 Incidents, complaints and severe human rights impacts",290
