0,1,2
DISCLOSURE REQUIREMENT AND RELATED DATAPOINT,MATERIAL/NOT MATERIAL,PARAGRAPH
ESRS S1-1 Processes and measures for preventing trafficking in human beings paragraph 22,not material,
ESRS S1-1 Workplace accident prevention policy or management system paragraph 23,not material,
ESRS S1-3 Grievance/complaints handling mechanisms paragraph 32 (c),not material,
ESRS S1-14 Number of fatalities and number and rate of work-related accidents paragraph 88 (b) and (c),not material,
"ESRS S1-14 Number of days lost to injuries, accidents, fatalities or illness paragraph 88 (e)",not material,
ESRS S1-16 Unadjusted gender pay gap paragraph 97 (a),material,
ESRS S1-16 Excessive CEO pay ratio paragraph 97 (b),material,
ESRS S1-17 Incidents of discrimination paragraph 103 (a),material,
ESRS S1-17 Non-respect of UNGPs on Business and Human Rights and OECD paragraph 104 (a),material,
ESRS 2 - SBM3 - S2 Significant risk of child labour or forced labour in the value chain paragraph 11 (b),material,
ESRS S2-1 Human rights policy commitments paragraph 17,material,
ESRS S2-1 Policies related to value chain workers paragraph 18,material,
"ESRS S2-1 Non-respect of UNGPs on Business and Human Rights principles and OECD guidelines 
paragraph 19",material,
"ESRS S2-1 Due diligence policies on issues addressed by the fundamental International Labor Organisation 
Conventions 1 to 8, paragraph 19",material,
"ESRS S2-4 Human rights issues and incidents connected to its upstream and downstream value chain 
paragraph 36",material,
ESRS S3-1 Human rights policy commitments paragraph 16,material,
"ESRS S3-1 Non-respect of UNGPs on Business and Human Rights, ILO principles or and OECD guidelines 
paragraph 17",material,
ESRS S3-4 Human rights issues and incidents paragraph 36,material,
ESRS S4-1 Policies related to consumers and end-users paragraph 16,material,
ESRS S4-1 Non-respect of UNGPs on Business and Human Rights and OECD guidelines paragraph 17,material,
ESRS S4-4 Human rights issues and incidents paragraph 35,material,
ESRS G1-1 United Nations Convention against Corruption paragraph 10 (b),material,
ESRS G1-1 Protection whistle-blower of paragraph 10 (d),material,
ESRS G1-4 Fines for violation of anti-corruption and anti-bribery laws paragraph 24 (a),material,
ESRS G1-4 Standards anti-corruption of and anti-bribery paragraph 24 (b),material,
