0,1,2,3,4,5
Sustainability statements,,,Sustainability statements,,
IRO-2 - All the datapoints deriving from other EU legislation,,,continued: IRO-2 Par. 56 - DPs that derive from other EU legislation,,
IRO-2 Par. 56 - DPs that derive from other EU legislation,,,DISCLOSURE REQUIREMENT AND RELATED DATAPOINT,MATERIAL/NOT MATERIAL,PARAGRAPH
,,,ESRS S1-1 Processes and measures for preventing trafficking in human beings paragraph 22,not material,
DISCLOSURE REQUIREMENT AND RELATED DATAPOINT,MATERIAL/NOT MATERIAL,PARAGRAPH,ESRS S1-1 Workplace accident prevention policy or management system paragraph 23,not material,
ESRS 2 GOV-1 Board's gender diversity paragraph 21 (d),,,ESRS S1-3 Grievance/complaints handling mechanisms paragraph 32 (c),not material,
ESRS 2 GOV-1 Percentage of board members who are independent paragraph 21 (e),,,ESRS S1-14 Number of fatalities and number and rate of work-related accidents paragraph 88 (b) and (c),not material,
ESRS 2 GOV-4 Statement on due diligence paragraph 30 ESRS 2 SBM-1 Involvement in activities related,,,"ESRS S1-14 Number of days lost to injuries, accidents, fatalities or illness paragraph 88 (e)",not material,
to fossil fuel activities paragraph 40 (d) i,,,ESRS S1-16 Unadjusted gender pay gap paragraph 97 (a),material,
ESRS 2 SBM-1 Involvement in activities related to chemical production paragraph 40 (d) ii,,,ESRS S1-16 Excessive CEO pay ratio paragraph 97 (b),material,
ESRS 2 SBM-1 Involvement in activities related to controversial weapons paragraph 40 (d) iii,,,ESRS S1-17 Incidents of discrimination paragraph 103 (a),material,
ESRS 2 SBM-1 Involvement in activities related to cultivation and production of tobacco paragraph 40 (d) iv,,,ESRS S1-17 Non-respect of UNGPs on Business and Human Rights and OECD paragraph 104 (a),material,
ESRS E1-1 Transition plan to reach climate neutrality by 2050 paragraph 14,material,,ESRS 2 - SBM3 - S2 Significant risk of child labour or forced labour in the value chain paragraph 11 (b),material,
ESRS E1-1 Undertakings excluded from Paris-aligned Benchmarks paragraph 16 (g),material,,ESRS S2-1 Human rights policy commitments paragraph 17,material,
ESRS E1-4 GHG emission reduction targets paragraph 34,material,,"ESRS S2-1 Policies related to value chain workers paragraph 18 
ESRS S2-1 Non-respect of UNGPs on Business and Human Rights principles and OECD guidelines",material,
"ESRS E1-5 Energy consumption from fossil sources disaggregated by sources (only high climate impact 
sectors) paragraph 38",material,,paragraph 19,material,
ESRS E1-5 Energy consumption and mix paragraph 37,material,,"ESRS S2-1 Due diligence policies on issues addressed by the fundamental International Labor Organisation 
Conventions 1 to 8, paragraph 19",material,
ESRS E1-5 Energy intensity associated with activities in high climate impact sectors paragraphs 40 to 43,material,,ESRS S2-4 Human rights issues and incidents connected to its upstream and downstream value chain,,
"ESRS E1-6 Gross Scope 1, 2, 3 and Total GHG emissions paragraph 44",material,,paragraph 36,material,
ESRS E1-6 Gross GHG emissions intensity paragraphs 53 to 55,material,,ESRS S3-1 Human rights policy commitments paragraph 16,material,
ESRS E1-7 GHG removals and carbon credits paragraph 56,material,,"ESRS S3-1 Non-respect of UNGPs on Business and Human Rights, ILO principles or and OECD guidelines",,
ESRS E1-9 Exposure of the benchmark portfolio to climate-related physical risks paragraph 66,material,subject to phase in,paragraph 17,material,
ESRS E1-9 Disaggregation of monetary amounts by acute and chronic physical risk paragraph 66 (a) ESRS,,,ESRS S3-4 Human rights issues and incidents paragraph 36,material,
"E1-9 Location of significant assets at material physical risk paragraph 66 (c). 
ESRS E1-9 Breakdown of the carrying value of its real estate assets by energy-efficiency classes paragraph",material,subject to phase in,ESRS S4-1 Policies related to consumers and end-users paragraph 16,material,
67 (c).,material,subject to phase in,ESRS S4-1 Non-respect of UNGPs on Business and Human Rights and OECD guidelines paragraph 17,material,
ESRS E1-9 Degree of exposure of the portfolio climate-relate to opportunities paragraph 69,material,subject to phase in,ESRS S4-4 Human rights issues and incidents paragraph 35,material,
ESRS E2-4 Amount of each pollutant listed in Annex E-PRT II of the Regulation (European Pollutant,,,ESRS G1-1 United Nations Convention against Corruption paragraph 10 (b),material,
