0,1,2
"The table below gives the reader the location in the sustainability statement of the different disclosure requirements, identified by their code as published 
the CSRD directive:",,
ESRS,Disclosure Requirement,section concerned
"ESRS 2 General 
disclosures",BP-1 — General basis for preparation of sustainability statements,"4.1.1.2 
General basis for preparation of sustainability statements"
,BP-2 — Disclosures in relation to specific circumstances,"4.1.1.3 
Disclosures in relation to specific circumstances"
,"GOV-1 — The role of the administrative, management and 
supervisory bodies","4.1.1.4.1 
The role of the administrative, management and 
supervisory bodies"
,"GOV-2 — Information provided to and sustainability matters 
addressed by the undertaking’s administrative, management and","4.1.1.4.2 
Information provided to and sustainability matters 
addressed by the undertaking’s administrative, management and"
,supervisory bodies,supervisory bodies
,"GOV-3 — Integration of sustainability-related performance in 
incentive schemes","4.1.1.4.3 
Integration of sustainability-related performance in 
incentive schemes"
,GOV-4 — Statement on due diligence,"4.1.1.4.4 
Statement on due diligence"
,"GOV-5 — Risk management and internal controls over sustainability 
reporting","4.1.1.4.5 
Risk management and internal controls over 
sustainability reporting"
,"SBM-1 — Strategy, business model and value chain","4.1.1.5 
Strategy, business model and value chain"
,SBM-2 — Interests and views of stakeholders,"4.1.1.6 
Interests and views of stakeholders"
,"SBM-3 — Material impacts, risks and opportunities and their 
interaction with strategy and business model","4.1.1.7 
Disclosures in relation to specific circumstances"
,"IRO-1 — Description of the process to identify and assess material 
impacts, risks and opportunities","4.1.1.7 
Disclosures in relation to specific circumstances"
,"IRO-2 — Disclosure requirements in ESRS covered by the 
undertaking’s sustainability statement","4.1.1.8 
Other general information to disclose"
"ESRS E1 Climate 
change","ESRS 2 GOV-3 — Integration of sustainability-related performance 
in incentive schemes",4.1.2.1.6  Governance of the climate commitment
,E1-1 — Transition plan for climate change mitigation,4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target
,,"4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target
4.1.2.1.3 
Focus on coal phase-out and methane recovery plans"
,"ESRS 2 SBM-3 — Material impacts, risks and opportunities and their 
interaction with strategy and business model","4.1.2.1.4 
Helping customers decarbonize
4.1.2.1.5 
Climate change adaptation"
,,"4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target
4.1.2.1.3 
Focus on coal phase-out and methane recovery plans"
,"ESRS 2 IRO-1 — Description of the processes to identify and 
assess material climate-related impacts, risks and opportunities","4.1.2.1.4 
Helping customers decarbonize
4.1.2.1.5 
Climate change adaptation"
,,"4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target
4.1.2.1.4 
Helping customers decarbonize"
,E1-2 — Policies related to climate change mitigation and adaptation,"4.1.2.1.5 
Climate change adaptation"
,E1-3 — Actions and resources in relation to climate change policies,"The Group’s action plan to reduce direct and indirect emissions in 
practice"
,E1-4 — Targets related to climate change mitigation and adaptation,"2050 target: the reduction drivers to be deployed between 2032 and 
2050"
,E1-5 — Energy consumption and mix,"4.1.2.1.7 
Metrics"
,"E1-6 — Gross Scopes 1, 2, 3 and Total GHG emissions","4.1.2.1.7 
Metrics"
,"E1-7 — GHG removals and GHG mitigation projects financed 
through carbon credits","4.1.2.1.4 
Helping customers decarbonize"
,E1-8 — Internal carbon pricing,"4.1.2.1.2 Aligning Veolia’s trajectory with the 1.5°C target
4.1.2.1.4 
Helping customers decarbonize"
,"E1-9 — Anticipated financial effects from material physical and 
transition risks and potential climate-related opportunities","4.1.2.1.5 
Climate change adaptation"
ESRS E2 Pollution,"ESRS 2 IRO-1 — Description of the processes to identify and 
assess material pollution-related impacts, risks and opportunities","4.1.2.2.1 
Introduction"
,E2-1 — Policies related to pollution,"4.1.2.2.2 
Pollution emitted by Veolia  / A Group operational policy 
supporting the Business Units"
,E2-2 —  Actions and resources related to pollution,"4.1.2.2.2 
Pollution emitted by Veolia  / This operational policy is 
translated locally into appropriate action plans"
,E2-3 —  Targets related to pollution,"4.1.2.2.2 
Pollution emitted by Veolia  / Standard targets defined for 
the level of pollution emitted"
,"E2-4 — Pollution of air, water and soil","4.1.2.2.2 
Pollution emitted by Veolia  / Consolidated reporting"
