0,1,2,3
Our business,"Sustainability statement
Financial statements
Auditor and management statements","Additional information
Related to the Sustainability statement",
IRO-2,,,
Content index of ESRS disclosure requirements,,,
List of material disclosure requirements,Page,List of material disclosure requirements,Page
ESRS 2,General Disclosures,"E3
Water and marine resources",
BP-1,"69
General basis for preparation of the sustainability statement","ESRS 2 SBM-3-E3
Material impacts, risks and opportunities and their interaction with strategy and business 
model",81
BP-2,"69
Disclosures in relation to specific circumstances","ESRS 2 IRO-1-E3
Description of the processes to identify and assess material water and marine resources-",
GOV-1,"40, 44, 47
The role of the administrative, management and supervisory bodies","related impacts, risks and opportunities",65
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s 
48, 63
administrative, management and supervisory bodies","E3-1
Policies related to water and marine resources",82
GOV-3,"46
Integration of sustainability-related performance in incentive schemes","E3-2
Actions and resources related to water and marine resources",82
GOV-4,"213
Statement on due diligence","E3-3
Targets related to water and marine resources",82
GOV-5,"63
Risk management and internal controls over sustainability reporting","E3-4
Water consumption",82
SBM-1,"16, 19, 62
Strategy, business model and value chain","E4
Biodiversity and ecosystems",
SBM-2,"67
Interests and views of stakeholders","E4-1
Transition plan and consideration of biodiversity and ecosystems in strategy and business 
model",83
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business 
66
model","ESRS 2 SBM-3-E4
Material impacts, risks and opportunities and their interaction with strategy and business",
IRO-1,"Description of the processes to identify and assess material impacts, risks and",model,84
,"64
opportunities","ESRS 2 IRO-1-E4
Description of processes to identify and assess material biodiversity and ecosystem-
related impacts, risks dependencies and opportunities",66
IRO-2,"64, 212
Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement","E4-2
Policies related to biodiversity and ecosystems",85
E1,Climate change,"E4-3
Actions and resources related to biodiversity and ecosystems",85
ESRS 2 GOV-3-E1,"46
Integration of sustainability-related performance in incentive schemes","E4-4
Targets related to biodiversity and ecosystems",85
E1-1,"72
Transition plan for climate change mitigation","E4-5
Impact metrics related to biodiversity and ecosystems change",85
ESRS 2 SBM-3-E1,"Material impacts, risks and opportunities and their interaction with strategy and business 
73
model","E5
Resource use and circular economy",
ESRS 2 IRO-1-E1,"Description of the processes to identify and assess material climate-related impacts,","ESRS 2 SBM-3-E5
Material impacts, risks and opportunities and their interaction with strategy and business 
model",86
,"64
risks and opportunities","ESRS 2 IRO-1-E5
Description of the processes to identify and assess material resource use and circular",
E1-2,"75
Policies related to climate change mitigation and adaptation","economy-related impacts, risks and opportunities",66
E1-3,"75
Actions and resources in relation to climate change policies","E5-1
Policies related to resource use and circular economy",87
E1-4,"77
Targets related to climate change mitigation and adaptation","E5-2
Actions and resources related to resource use and circular economy",88
E1-5,"78
Energy consumption and mix","E5-3
Targets related to resource use and circular economy",91
E1-6,"78, 79
Gross Scopes 1, 2, 3 and Total GHG emissions","E5-4
Resource inflows",90
E1-7,"77
GHG removals and GHG mitigation projects financed through carbon credits","E5-5
Resource outflows",90
Vestas Annual Report 2024,,,212
