0,1,2,3,4,5
"Our business
Sustainability statement","Financial statements
Auditor and management statements
Additional information",Related to the Sustainability statement,,,
IRO-2,,,,,
,List of data points that derive from other EU legislation,,,,
Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,,,,,
Disclosure Requirement and related datapoint,"SFDR reference 
Pillar 3 reference",Benchmark Regulation reference,"EU Climate Law 
reference","Material /  
Not material",Page
ESRS 2 GOV-1 Board’s gender diversity paragraph 21 (d),"Indicator number 13 of Table #1 of Annex 
1
NA","Commission Delegated Regulation (EU) 
2020/1816, Annex II",NA,Material,38
"ESRS GOV-1 Percentage of board members who are independent 
paragraph 21 (e)",,,,,
,"NA
NA","Delegated Regulation (EU) 2020/1816, Annex II",NA,Material,38
ESRS 2 GOV-4 Statement on due diligence paragraph 30,"Indicator number 10 Table #3  
of Annex 1 
NA",NA,NA,Material,211
"ESRS 2 SBM-1 Involvement in activities related to fossil fuel 
activities paragraph 40 (d) i","Article 449a Regulation (EU) No 575/2013: Commission 
Implementing Regulation (EU) 2022/2453 Table 1: Qualitative",,,,
,"information on Environmental risk and Table 2: Qualitative 
information on Social risk 
Indicators number 4 Table #1 of Annex 1","Delegated Regulation (EU) 2020/1816, Annex II",NA,Not material,
"ESRS 2 SBM-1 Involvement in activities related to chemical 
production paragraph 40 (d) ii","Indicator number 9 Table #2 of Annex 1  
NA","Delegated Regulation (EU) 2020/1816, Annex II",NA,Not material,
"ESRS 2 SBM-1 Involvement in activities related to controversial 
weapons paragraph 40 (d) iii",,"Delegated Regulation (EU) 2020/1818, Article 
12(1) Delegated Regulation (EU) 2020/1816,",,,
,Indicator number 14 Table #1 of Annex 1  NA,Annex II,NA,Not material,
"ESRS 2 SBM-1 Involvement in activities related to cultivation and 
production of tobacco paragraph 40 (d) iv",,"Delegated Regulation (EU) 2020/1818, Article 
12(1) Delegated Regulation (EU) 2020/1816,",,,
,"NA
NA",Annex II,NA,Not material,
"ESRS E1-1 Transition plan to reach climate neutrality by 2050 
paragraph 14",,,"Regulation (EU) 
2021/1119, Article",,
,"NA
NA",NA,2(1),Material,72
"ESRS E1-1 Undertakings excluded from Paris-aligned Benchmarks 
paragraph 16 (g)","Article 449a Regulation (EU) No 575/2013; Commission 
Implementing Regulation (EU) 2022/2453 Template 1: Banking",,,,
,"book Climate Change transition risk: Credit quality of exposures by 
sector, emissions and residual maturity 
NA","Delegated Regulation (EU) 2020/1818, Article 
12.1 (d) to (g), and Article 12.2",NA,Not material,
ESRS E1-4 GHG emission reduction targets paragraph 34,"Article 449a Regulation (EU) No 575/2013; Commission 
Implementing Regulation (EU) 2022/2453 Template 3: Banking",,,,
,"book – Climate change transition risk: alignment metrics 
Indicator number 4 Table #2 of Annex 1","Delegated Regulation (EU) 2020/1818, Article 6",NA,Material,77
"ESRS E1-5 Energy consumption from fossil sources disaggregated 
by sources (only high climate impact sectors) paragraph 38","Indicator number 5 Table #1 and Indicator  
number. 5 Table #2 of Annex 1 
NA",NA,NA,Material,78
Vestas Annual Report 2024,,,,,214
