0,1,2,3,4,5,6,7
Sustainability Repo,"r
t",,,,,,Annex to the sustainability Report
"Disclosure 
requirement",Datapoint,Description,SFDR reference (1),"Pillar 3  
reference (2)","Benchmark  
Regulation","EU Climate Law 
reference (4)",Location
,,,,,reference (3),,
ESRS 2 GOV-1,21 (d),Board’s gender diversity,"Indicator number 13 
Table 1 of Annex 1",,"Commission Delegated 
Regulation (EU)",,"General information:  
Information on the Board of Management and"
,,,,,"2020/1816 (5), Annex 
II",,Supervisory Board
ESRS 2 GOV-1,21 (e),"Percentage of board 
members who are",,,"Commission Delegated 
Regulation (EU)",,"General information:  
Information on the Board of Management and"
ESRS 2 GOV-4,30,"independent 
Statement on due diligence",Indicator number 10,,"2020/1816, Annex II",,"Supervisory Board 
Annex to the Sustainability Report:"
ESRS 2 SBM-1,40 (d) i,Involvement in activities,"Table 3 of Annex 1 
Indicators number 4",Article 449a of,Commission Delegated,,"Disclosures on due diligence 
General information:"
,,"related to fossil fuel 
activities",Table #1 of Annex 1,"Regulation (EU) No 
575/2013; Commission","Regulation (EU) 
2020/1816, Annex II",,"Business model, value chain and strategy"
,,,,"Implementing Regulation 
(EU) 2022/2453 (6),",,,
,,,,"Table 1: Qualitative 
information on",,,
,,,,"environmental risk, and 
Table 2: Qualitative",,,
ESRS 2 SBM-1,40 (d) ii,Involvement in activities,Indicator number 9,information on social risk,Commission Delegated,,Not material
,,"related to chemical 
production",Table 2 of Annex 1,,"Regulation (EU) 
2020/1816, Annex II",,
ESRS 2 SBM-1,40 (d) iii,"Involvement in activities 
related to controversial","Indicator number 14 
Table 1 of Annex 1",,"Delegated Regulation 
(EU) 2020/1818 (7),",,Not material
,,weapons,,,"Article 12(1) 
Delegated Regulation",,
,,,,,"(EU) 2020/1816, 
Annex II",,
ESRS 2 SBM-1,40 (d) iv,"Involvement in activities 
related to cultivation and",,,"Delegated Regulation 
(EU) 2020/1818,",,Not material
,,production of tobacco,,,"Article 12(1); 
Delegated Regulation",,
,,,,,"(EU) 2020/1816, 
Annex II",,
ESRS E1-1,14,"Transition plan to reach 
climate neutrality by 2050",,,,"Regulation (EU)  
021/1119,","Climate change:  
Strategy: Climate change and transition plan"
ESRS E1-1,16 (g),Undertakings excluded from,,Article 449a of,Delegated Regulation,Article 2(1),Climate change:
,,Paris-aligned benchmarks,,"Regulation (EU) No 
575/2013; Commission","(EU) 2020/1818, 
Article12(1) (d) to (g),",,Strategy: Climate change and transition plan
,,,,"Implementing Regulation 
(EU) 2022/2453,",and Article 12(2),,
