0,1,2,3
Governance standards – ESRS G1 “Business conduct”,,,
"Standard 
section",Disclosure requirement,Section/report,"Additional 
information"
"ESRS 2, 
GOV-1","The role of the administrative, supervisory 
and management bodies","GOV-1, GOV-2 The role of, information 
provided to and sustainability matters 
addressed by the administrative, management 
and supervisory bodies",
"ESRS 2, 
IRO-1","Description of the processes to identify 
and assess material impacts, risks 
and opportunities","SBM-3 Material impacts, risks and 
opportunities related to business conduct",
G1-1,"Business conduct policies and 
corporate culture","G1-1 Business conduct policies and 
corporate culture",
G1-2,Management of relationships with suppliers,"G1-2 Management of relationships 
with suppliers",
G1-3,"Prevention and detection of corruption 
and bribery",,Not material
G1-4,Incidents of corruption or bribery,,Not material
G1-5,Political influence and lobbying activites,,Not material
G1-6,Payment practices,G1-6 Payment practices,
