0,1,2,3,4,5
,,,,"Reference to 
sustainability",Reference to other chapters in 2024 Annual Report and/or
Section,ESRS Standard,Disclosure Requirement,,statements,use of phased-in provisions
,,SBM-3,"Material impacts, risks, and opportunities and their interaction with strategy 
and business model",Page 103,"Risk management in Governance on page 49. 
Note 3 - Accounting estimates and judgments in Financial"
,,,,,statements on page 162.
,,,,,"Phased-in used for SBM-3, paragraph 48 (e)."
,,IRO-1,"Process to identify and assess material impacts, risks, and opportunities",Page 104,
,,IRO-2,Disclosure requirements covered by the sustainability statements,Page 106,
Environmental disclosures,Climate change (ESRS E1),SBM-3,Material impacts and their interaction with strategy and business model,Page 107,"Note 3 - Accounting estimates and judgments in Financial 
statements on page 162."
,,E1-1,Transition plan for climate change mitigation,Page 108,
,,E1-2,Policies related to climate change,Page 110,
,,E1-3,Actions and resources related to climate change,Page 110,Business interruption in Risk Management on page 54.
,,E1-4,Targets related to climate change,Page 112,"Key elements of our remuneration policy in the 
Remuneration report on page 72."
,,E1-5,Energy consumption and mix,Page 114,
,,E1-6,Gross GHG emissions,Page 115,
,,,Climate change company-specific metrics,Page 120,
Social disclosures,Own workforce (ESRS S1),SBM-3,Material impacts and their interaction with strategy and business model,Page 121,
,,S1-1,Policies related to own workforce,Page 121,
,,S1-2,"Processes for engaging with own workforce and workers’ representatives 
about impacts",Page 122,
,,S1-3,"Processes to remediate negative impacts and channels for own workforce 
to raise concerns",Page 122,
,,S1-4,Actions related to own workforce,Page 123,
,,S1-5,Targets related to own workforce,Page 125,Diversity in Corporate governance on page 46.
,,S1-6,Characteristics of our employees,Page 126,
,,S1-7,Characteristics of non-employee workers in our own workforce,Page 127,"Phased-in used for S1-7, paragraphs 55 (a), (b), (c), and 57."
,,S1-9,Diversity metrics,Page 127,"Phased-in used for S1-9, paragraph 66 (a)."
,,S1-12,Persons with disabilities,Page 128,"Phased-in used for S1-12, paragraph 77."
,,S1-13,Training and skills development metrics,Page 128,"Phased-in used for S1-13, paragraph 83 (b)."
,,S1-15,Work-life balance metrics,Page 129,
,,S1-16,Remuneration metrics,Page 129,
,,S1-17,Incidents and complaints,Page 130,
