0,1,2,3,4
Wolters Kluwer 2024 Annual Report,Strategic report,"Governance
Sustainability statements
Financial statements
Other information",,142
,List of data points that derive,,,
,from other EU legislation,,,
"Section
ESRS Standard",Data point that derives from other EU legislation,,Reference to sustainability statements,
"General disclosures
General disclosures (ESRS 2)",GOV-1,Board’s gender diversity,Page 95,
,GOV-1,Percentage of board members who are independent,Page 95,
,GOV-4,Statement on due diligence,Page 97,
,SBM-1,Involvement in activities related to fossil fuel activities,Not material to us.,
,SBM-1,Involvement in activities related to chemical production,Not material to us.,
,SBM-1,Involvement in activities related to controversial weapons,Not material to us.,
,SBM-1,Involvement in activities related to cultivation and production of tobacco,Not material to us.,
"Environmental disclosures
Climate change (E1)",E1-1,Transition plan to reach climate neutrality by 2050,Page 108,
,E1-1,Undertakings excluded from Paris-aligned Benchmarks,Page 108,
,E1-4,GHG emission reduction targets,Page 112,
,E1-5,Energy consumption from fossil sources disaggregated by sources for high climate impact sectors,Not material to us.,
,E1-5,Energy consumption and mix,Page 114,
,E1-5,Energy intensity associated with activities in high climate impact sectors,Not material to us.,
,E1-6,"Gross scope 1, 2, 3, and total GHG emissions",Page 115,
,E1-6,Gross GHG emissions intensity,Page 116,
,E1-7,GHG removals and carbon credits,Not material to us.,
,E1-9,Exposure of the benchmark portfolio to climate-related physical risks,Not material to us.,
,E1-9,Disaggregation of monetary amounts by acute and chronic physical risk,Not material to us.,
,E1-9,Location of significant assets at material physical risk,Not material to us.,
,E1-9,"Breakdown of the carrying value of real estate assets by  
energy-efficiency classes",Not material to us.,
,E1-9,Degree of exposure of the portfolio to climate-related opportunities,Not material to us.,
Pollution (E2),E2-4,"Amount of each pollutant listed in Annex II of the E-PRTR Regulation (European Pollutant Release and 
Transfer Register) emitted to air, water, and soil",Not material to us.,
Water and marine resources (E3),E3-1,Water and marine resources,Not material to us.,
