0,1
"o Disclosure Requirement related to ESRS 2 SBM-3 – Material 
impacts, risks and opportunities and their interaction with strategy","6.1.1.3.3 SBM-3: Material impacts, risks and opportunities and their interaction 
with strategy and business model"
and business model,"6.2.2.3 Description of the processes to identify and assess material 
climate-related impacts, risks and opportunities (ESRS 2 IRO-1) and Material"
,"impacts, risks and opportunities and their interaction with strategy and 
business model (ESRS 2 SBM-3)"
"Impact, risk and opportunity management",
"o Disclosure requirement related to ESRS 2 IRO-1 – Description of 
the processes to identify and assess material climate-related","6.1.1.4.1 IRO-1: Description of the processes to identify and assess material 
IROs"
"impacts, risks and opportunities","6.2.2.3 Description of the processes to identify and assess material 
climate-related impacts, risks and opportunities (ESRS 2 IRO-1) and Material"
,"impacts, risks and opportunities and their interaction with strategy and 
business model (ESRS 2 SBM-3)"
"o Disclosure Requirement E1-2 – Policies related to climate change 
mitigation and adaptation","6.2.1 Policies 
6.2.2.4 Policies (E1-2)"
"o Disclosure Requirement E1-3 – Actions and resources in relation 
to climate change policies",6.2.2.5 Actions and resources (E1-3)
Metrics and targets,
"o Disclosure Requirement E1-4 – Targets related to climate change 
mitigation and adaptation",6.2.2.6 Targets (E1-4)
o Disclosure Requirement E1-5 – Energy consumption and mix,6.2.2.7 Energy Consumption and Mix (E1-5)
"o Disclosure Requirement E1-6 – Gross Scopes 1, 2, 3 and Total 
GHG emissions",6.2.2.8 GHG Emissions (E1-6)
"o Disclosure Requirement E1-7 – GHG removals and GHG 
mitigation projects financed through carbon credits",6.2.2.9 GHG removals and carbon credits (E1-7)
o Disclosure Requirement E1-8 – Internal carbon pricing,6.2.1.10 Internal carbon pricing (E1-8)
ESRS E2 - POLLUTION,
ESRS 2 General disclosures,See above
"Impact, risk and opportunity management",
"o Disclosure Requirement related to ESRS 2 IRO-1 – Description of 
the processes to identify and assess material pollution-related","6.1.1.4.1 IRO-1: Description of the processes to identify and assess material 
IROs"
"impacts, risks and opportunities",
o Disclosure Requirement E2-1 – Policies related to pollution,"6.2.1 Policies 
6.2.3.2.1 Policies (E2-1)"
,6.2.3.3.1 Policies (E2-1)
"o Disclosure Requirement E2-2 – Actions and resources related to 
pollution","6.2.3.2.2 Actions and resources (E2-2)  
6.2.3.3.2 Actions and resources (E2-2)"
Metrics and targets,
o Disclosure Requirement E2-3 – Targets related to pollution,"6.2.3.2.3 Targets (E2-3) 
6.2.3.3.3 Targets (E2-3)"
"o Disclosure Requirement E2-4 – Pollution of air, water and soil","6.2.3.2.4 Metrics (E2-5) 
6.2.3.3.4 Metrics (E2-5)"
ESRS E3 - WATER AND MARINE RESOURCES,
ESRS 2 General disclosures,See above
"Impact, risk and opportunity management",
"o Disclosure Requirement related to ESRS 2 IRO-1 – Description of 
the processes to identify and assess material water and marine","6.1.1.4.1 IRO-1: Description of the processes to identify and assess material 
IROs"
"resources-related impacts, risks and opportunities",
"o Disclosure Requirement E3-1 – Policies related to water and 
marine resources","6.2.1 Policies 
6.2.4.2 Policies (E3-1)"
"o Disclosure Requirement E3-2 – Actions and resources related to 
water and marine resources",6.2.4.3 Actions and resources (E3-2)
Metrics and targets,
"o Disclosure Requirement E3-3 – Targets related to water and 
marine resources",6.2.4.4 Targets (E3-3)
o Disclosure Requirement E3-4 – Water consumption,6.2.4.5 Metrics (E3-4)
