0,1,2,3,4,5
"ESRS 2 SBM-1 
Involvement in activities","Indicators number 4 
Table #1 of Annex 1","Article 449a Regulation (EU) 
No 575/2013;","Delegated 
Regulation (EU)",,Not material
"related to fossil fuel 
activities paragraph 40",,"Commission Implementing 
Regulation (EU) 2022/2453","2020/1816, Annex II",,
(d) i,,"(6) Table 1: Qualitative 
information on",,,
,,"Environmental risk 
and Table 2: Qualitative",,,
,,information on Social risk,,,
"ESRS 2 SBM-1 
Involvement in activities","Indicator number 9 
Table #2 of Annex 1",,"Delegated 
Regulation (EU)",,Not material
"related to chemical 
production paragraph",,,"2020/1816, 
Annex II",,
40 (d) ii,,,,,
"ESRS 2 SBM-1 
Involvement in activities","Indicator number 14 
Table #1 of Annex 1",,"Delegated 
Regulation (EU)",,Not material
"related to controversial 
weapons paragraph 40",,,"2020/1818 (7), 
Article 2(1)",,
(d) iii,,,"Delegated 
Regulation (EU)",,
,,,"2020/1816, Annex II",,
"ESRS 2 SBM-1 
Involvement in activities",,,"Delegated 
Regulation (EU)",,Not material
"related to cultivation 
and",,,"2020/1818, Article 
12(1) Delegated",,
"production of tobacco 
paragraph 40 (d) iv",,,"Regulation (EU) 
2020/1816, Annex II",,
"ESRS E1-1 
Transition plan to reach",,,,"Regulation 
(EU)","6.2.2.2 Transition plan for climate 
change mitigation (E1-1)"
"climate neutrality by 
2050",,,,"2021/1119, 
Article 2(1)",
paragraph 14,,,,,
"ESRS E1-1 
Undertakings excluded",,"Article 449a Regulation (EU) 
No 575/2013; Commission","Delegated 
Regulation",,"6.2.2.2 Transition plan for climate 
change mitigation (E1-1)"
"from 
Paris-aligned",,"Implementing Regulation 
(EU) 2022/2453 Template 1:","(EU) 2020/1818, 
Article 12.1 (d) to",,
"Benchmarks 
paragraph 16 (g)",,"Banking book-Climate 
Change transition risk:","(g), and Article 12.2",,
,,"Credit quality of exposures 
by sector, emissions and",,,
,,residual maturity,,,
"ESRS E1-4 
GHG emission","Indicator number 4 
Table #2 of Annex 1","Article 449a Regulation (EU) 
No 575/2013; Commission","Delegated 
Regulation",,6.2.2.6 Targets (E1-4)
"reduction targets 
paragraph 34",,"Implementing Regulation 
(EU) 2022/2453","(EU) 2020/1818, 
Article 6",,
,,"Template 3: Banking book – 
Climate change transition",,,
,,risk: alignment metrics,,,
"ESRS E1-5 
Energy consumption","Indicator number 5 
Table #1 and",,,,"6.2.2.7 Energy Consumption and 
Mix (E1-5)"
"from fossil sources 
disaggregated by","Indicator n. 5 Table 
#2 of Annex 1",,,,
"sources (only high 
climate impact sectors)",,,,,
paragraph 38,,,,,
"ESRS E1-5 Energy 
consumption and mix","Indicator number 5 
Table #1 of Annex 1",,,,"6.2.2.7 Energy Consumption and 
Mix (E1-5)"
paragraph 37,,,,,
"ESRS E1-5 
Energy intensity","Indicator number 6 
Table #1 of Annex 1",,,,"6.2.2.7 Energy Consumption and 
Mix (E1-5)"
"associated with 
activities in high climate",,,,,
impact sectors,,,,,
