0,1,2,3,4,5
Datapoints that derive from other E.U. legislation (IRO-2),,,,,
Disclosure requirement and related datapoint,Materiality,Sub-section/sub-sub-section,Disclosure requirement and related datapoint,Materiality,Sub-section/sub-sub-section
ESRS 2 GOV-1 Board's gender diversity paragraph 21 (d),Material,"Role of the administrative, management, and 
supervisory bodies",ESRS E1-9 Exposure of the benchmark portfolio to,"Not relevant 
for FY 2024",
ESRS 2 GOV-1 Percentage of board members who are,,"Role of the administrative, management, and","climate-related physical risks, paragraph 66",(phased-in,"Not applicable, since not relevant"
independent paragraph 21 (e),Material,supervisory bodies,,provision),
ESRS 2 GOV-4 Statement on due diligence paragraph 30,Material,Statement on due diligence,ESRS E1-9 Disaggregation of monetary amounts by,"Not relevant 
for FY 2024",
ESRS 2 SBM-1 Involvement in activities related to fossil,Not material,"Not applicable, since not material","acute and chronic physical risk, paragraph 66 (a)",(phased-in,"Not applicable, since not relevant"
fuel activities paragraph 40 (d) i,,,,provision),
"ESRS 2 SBM-1 Involvement in activities related to 
chemical production paragraph 40 (d) ii",Not material,"Not applicable, since not material",ESRS E1-9 Location of significant assets at material,"Not relevant 
for FY 2024",
ESRS 2 SBM-1 Involvement in activities related to,,,"physical risk, paragraph 66 (c).",(phased-in,"Not applicable, since not relevant"
controversial weapons paragraph 40 (d) iii,Not material,"Not applicable, since not material",,provision),
ESRS 2 SBM-1 Involvement in activities related to,,,ESRS E1-9 Breakdown of the carrying value of its real,"Not relevant 
for FY 2024",
"cultivation and production of tobacco paragraph 40 (d) 
iv",Not material,"Not applicable, since not material","estate assets by energy-efficiency classes, paragraph 67 
(c).",(phased-in,"Not applicable, since not relevant"
ESRS E1-1 Transition plan to reach climate neutrality by,,Climate change strategy and net-zero,,provision),
2050 paragraph 14,Material,transition,ESRS E1-9 Degree of exposure of the portfolio to,"Not relevant 
for FY 2024",
ESRS E1-1 Undertakings excluded from Paris-aligned,Material,Climate change strategy and net-zero,"climate-related opportunities, paragraph 69",(phased-in,"Not applicable, since not relevant"
Benchmarks paragraph 16 (g),,transition,,provision),
,,"Targets related to climate change mitigation 
for our insurance portfolio, Targets related to","ESRS E2-4 Amount of each pollutant listed in Annex II of 
the E-PRTR Regulation (European Pollutant Release and",,
ESRS E1-4 GHG emission reduction targets paragraph 34,Material,climate change mitigation for our investment,"Transfer Register) emitted to air, water, and soil,",Not material,"Not applicable, since not material"
,,"portfolio and Targets related to climate 
change mitigation for Allianz own operations",paragraph 28,,
ESRS E1-5 Energy consumption from fossil sources,,,"ESRS E3-1 Water and marine resources, paragraph 9",Material,Policies related to water and marine resources
disaggregated by sources (only high climate impact,Not material,"Not applicable, since not material","ESRS E3-1 Dedicated policy, paragraph 13",Not material,"Not applicable, since not material"
sectors) paragraph 38,,,"ESRS E3-1 Sustainable oceans and seas, paragraph 14",Material,Policies related to water and marine resources
ESRS E1-5 Energy consumption and mix paragraph 37,Material,Climate-related metrics for the Allianz Group,"ESRS E3-4 Total water recycled and reused, paragraph 
28 (c)",Not material,"Not applicable, since not material"
"ESRS E1-5 Energy intensity associated with activities in 
high climate impact sectors paragraphs 40 to 43",Not material,"Not applicable, since not material",ESRS E3-4 Total water consumption in m3 per net,,
"ESRS E1-6 Gross Scope 1, 2, 3 and Total GHG emissions",,,"revenue on own operations, paragraph 29",Not material,"Not applicable, since not material"
paragraph 44,Material,Climate-related metrics for the Allianz Group,"ESRS 2-SBM-3 – E4, paragraph 16 (a) i",Not material,"Not applicable, since not material"
"ESRS E1-6 Gross GHG emissions intensity, paragraphs 53 
to 55",Material,Climate-related metrics for the Allianz Group,"ESRS 2-SBM-3 – E4, paragraph 16 (b)",Material,Materiality of biodiversity and ecosystems
,Not relevant,,"ESRS 2-SBM-3 – E4, paragraph 16 (c)",Not material,"Not applicable, since not material"
,(no GHG,,"ESRS E4-2 Sustainable land/agriculture practices or 
policies, paragraph 24 (b)",Material,Policies related to biodiversity and ecosystems
"ESRS E1-7 GHG removals and carbon credits, paragraph 
56","removals or 
carbon credits","Not applicable, since not relevant",,,
,"currently in 
place)",,,,
