0,1,2,3,4,5
C _ Group Management Report _ Sustainability Statement,,,,,
Disclosure requirement and related datapoint,Materiality,Sub-section/sub-sub-section,Disclosure requirement and related datapoint,Materiality,Sub-section/sub-sub-section
"ESRS E4-2 Sustainable oceans/seas practices or policies,",Material,"Policies related to biodiversity and ecosystems 
(reference to E3 Policies related to water and","ESRS S2-1 Non-respect of UNGPs on Business and 
Human Rights principles and OECD guidelines,",Material,Allianz ESRS policies
paragraph 24 (c),,marine resources),paragraph 19,,
"ESRS E4-2 Policies to address deforestation, paragraph 
24 (d)",Material,Policies related to biodiversity and ecosystems,"ESRS S2-1 Due diligence policies on issues addressed by 
the fundamental International Labour Organization",Material,Strategy and business model related to
,,Metrics related to circular economy and,"Conventions 1 to 8, paragraph 19",,workers in the value chain
"ESRS E5-5 Non-recycled waste, paragraph 37 (d)",Material,resource use [e-waste],ESRS S2-4 Human rights issues and incidents connected,,"Targets, actions, channels to raise concerns"
"ESRS E5-5 Hazardous waste and radioactive waste,",Material,Metrics related to circular economy and,"to its upstream and downstream value chain, paragraph 
36",Material,"and processes to remediate negative impacts 
on value chain workers"
paragraph 39,,resource use [e-waste],"ESRS S3-1 Human rights policy commitments, paragraph",,Strategy and business model related to
"ESRS 2- SBM-3 - S1 Risk of incidents of forced labor, 
paragraph 14 (f)",Not material,"Not applicable, since not material",16,Material,affected communities
"ESRS 2- SBM-3 - S1 Risk of incidents of child labor,",Not material,"Not applicable, since not material","ESRS S3-1 Non-respect of UNGPs on Business and 
Human Rights, ILO principles or OECD guidelines,",Material,Strategy and business model related to
paragraph 14 (g),,,paragraph 17,,affected communities
"ESRS S1-1 Human rights policy commitments, paragraph 
20",Material,Policies related to own workforce,"ESRS S3-4 Human rights issues and incidents, paragraph",,"Targets, actions, channels to raise concerns;"
ESRS S1-1 Due diligence policies on issues addressed by,,,36,Material,"and processes for engaging with affected 
communities"
"the fundamental International Labour Organization 
Conventions 1 to 8, paragraph 21",Material,Policies related to own workforce,"ESRS S4-1 Policies related to consumers and end-users,",Not material,"Not applicable, since not material"
ESRS S1-1 Processes and measures for preventing,,,paragraph 16,,
"trafficking in human beings, paragraph 22",Not material,"Not applicable, since not material","ESRS S4-1 Non-respect of UNGPs on Business and 
Human Rights and OECD guidelines, paragraph 17",Not material,"Not applicable, since not material"
"ESRS S1-1 Workplace accident prevention policy or 
management system, paragraph 23",Material,Policies related to own workforce,"ESRS S4-4 Human rights issues and incidents, paragraph",Material,Actions
"ESRS S1-3 Grievance/complaints handling mechanisms,",,,35,,
paragraph 32 (c),Material,Processes and channels to raise concerns,"ESRS G1-1 United Nations Convention against 
Corruption, paragraph 10 (b)",Not relevant,Policy(ies) are already in place
"ESRS S1-14 Number of fatalities and number and rate of 
work-related accidents, paragraph 88 (b) and (c)",Material,Health and safety,"ESRS G1-1 Protection of whistle-blowers, paragraph 10",Not relevant,Policy(ies) are already in place
"ESRS S1-14 Number of days lost to injuries, accidents,",,,(d),,
"fatalities or illness, paragraph 88 (e)",Material,Health and safety,"ESRS G1-4 Fines for violation of anti-corruption and anti-
bribery laws, paragraph 24 (a)",Material,Confirmed incidents of corruption or bribery
"ESRS S1-16 Unadjusted gender pay gap, paragraph 97 
(a)","Material - not 
disclosed1",Gender pay gap and remuneration ratio,ESRS G1-4 Standards of anti-corruption and anti-bribery,Material,Confirmed incidents of corruption or bribery
"ESRS S1-16 Excessive CEO pay ratio, paragraph 97 (b)",Material,Gender pay gap and remuneration ratio,paragraph 24 (b),,
"ESRS S1-17 Incidents of discrimination, paragraph 103",,,S1-16.,1_We have applied the safeguard clause according to ESRS 2.5(e) in conjunction with §§ 289e and 315c HGB for the gender pay gap ratio for,
(a),Material,Human rights in own workforce,,,
"ESRS S1-17 Non-respect of UNGPs on Business and 
Human Rights and OECD Guidelines, paragraph 104 (a)",Material,Human rights in own workforce,,,
"ESRS 2-SBM-3 – S2 Significant risk of child labor or 
forced labor in the value chain, paragraph 11 (b)",Material,Policies related to workers in the value chain,,,
"ESRS S2-1 Human rights policy commitments, paragraph 
17",Material,"Strategy and business model related to 
workers in the value chain",,,
"ESRS S2-1 Policies related to value chain workers, 
paragraph 18",Material,Policies related to workers in the value chain,,,
