0,1,2
Disclosure Requirement,Section/Subsection,Page
E5-1 – Policies related to resource use and circular economy,Management approaches for resource use and circular economy,160-161
E5-2 – Actions and resources related to resource use and circular economy,Key actions for target achievement,163-164
E5-3 – Targets related to resource use and circular economy,Targets related to resource use and circular economy,161-162
E5-4 – Resource inflows,Resource inflows,165-166
E5-5 – Resource outflows,Resource outflows,166-169
ESRS S1 – Own workforce,,
S1.SBM-2 – Interests and views of stakeholders,Interests and views of stakeholders relating to own workforce,103
"S1.SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business 
model",Further information on the IRO assessment in relation to the own workforce,172
S1-1 – Policies related to own workforce,Management approaches to own workforce,173-179
S1-2 – Processes for engaging with own workers and workers’ representatives about impacts,Processes for engaging with own workers and workers’ representatives about impacts,179
S1-3 – Processes to remediate negative impacts and channels for own workers to raise concerns,Processes to remediate negative impacts and channels for own workforce to raise concerns,180
"S1-4 – Taking action on material impacts on own workforce, and approaches to mitigating material risks 
and pursuing material opportunities related to own workforce, and effectiveness of those actions",Key actions for target achievement,181-182
"S1-5 – Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",Targets related to own workforce,181
S1-6 – Characteristics of the undertaking’s employees,Characteristics of the company’s employees,183-184
S1-8 – Collective bargaining coverage and social dialogue,Collective bargaining coverage and social dialogue,184
S1-9 – Diversity metrics,Diversity,185
S1-10 – Adequate wages,Adequate wages,186
S1-14 – Health and safety metrics,Occupational safety and health,186-187
S1-16 – Compensation metrics (pay gap and total compensation),Remuneration metrics,187
"S1-17 – Incidents, complaints and severe human rights impacts","Incidents, complaints and severe human rights impacts",188
ESRS S2 – Workers in the value chain,,
S2.SBM-2 – Interests and views of stakeholders,Interests and views of stakeholders relating to workers in the value chain,103
"S2.SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business 
model",Further information on the IRO assessment in relation to workers in the value chain,190
S2-1 – Policies related to value chain workers,Management approach to workers in the value chain,191-192
S2-2 – Processes for engaging with value chain about impacts,Processes for engaging with value chain workers about impacts,192
S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,Processes to remediate negative impacts and channels for workers in the value chain to raise concerns,192-193
"S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks 
and pursuing material opportunities related to value chain workers, and effectiveness of those actions",Key actions for target achievement,193
"S2-5 – Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",Targets related to workers in the value chain,193
