0,1,2,3,4,5
The table below illustrates the data points in ESRS 2 and topic-related ESRS that are derived from other EU legislation.,,,,,
Disclosure requirement and related datapoint,SFDR reference,Pillar 3 reference,Benchmark Regulation,EU Climate Law reference,"Sustainability report of  
Continental"
,,,reference,,Page
ESRS 2 GOV-1,Indicator No. 13 of Table #1 of,,"Commission Delegated 
Regulation (EU) 2020/1816,",,111
"Board's gender diversity, paragraph 21 (d)",Annex 1,,Annex II,,
"ESRS 2 GOV-1 
Percentage of board members who are independent,",,,Delegated Regulation,,111
paragraph 21 (e),,,"(EU) 2020/1816, Annex II",,
"ESRS 2 GOV-4 
Statement on due diligence, paragraph 30","Indicator No. 10 Table #3 of 
Annex 1",,,,115
ESRS 2 SBM-1,,"Article 449a Regulation (EU) No 575/2013; 
Commission Implementing Regulation",,,Not applicable –
Involvement in activities related to fossil fuel,"Indicators No. 4 Table #1 of 
Annex 1","(EU) 2022/2453, Table 1: Qualitative information on","Delegated Regulation 
(EU) 2020/1816, Annex II",,no related activities
"activities, paragraph 40 (d) i",,"Environmental risks and Table 2: Qualitative 
information on Social risks",,,at Continental
"ESRS 2 SBM-1 
Involvement in activities related to chemical",Indicator No. 9 Table #2 of,,Delegated Regulation,,"Not applicable –  
no related activities"
"production, paragraph 40 (d) ii",Annex 1,,"(EU) 2020/1816, Annex II",,at Continental
ESRS 2 SBM-1,Indicator No. 14 Table #1 of,,"Delegated Regulation 
(EU) 2020/1818, Article 12(1)",,Not applicable –
"Involvement in activities related to controversial 
weapons, paragraph 40 (d) iii",Annex 1,,Delegated Regulation,,"no related activities  
at Continental"
,,,"(EU) 2020/1816, Annex II 
Delegated Regulation",,
"ESRS 2 SBM-1 
Involvement in activities related to cultivation and",,,"(EU) 2020/1818, Article 12(1)",,"Not applicable –  
no related activities"
"production of tobacco, paragraph 40 (d) iv",,,"Delegated Regulation 
(EU) 2020/1816, Annex II",,at Continental
"ESRS E1-1 
Transition plan to reach climate neutrality by 2050,",,,,"Regulation (EU) 2021/1119,",137
paragraph 14,,,,Article 2(1),
,,"Article 449a 
Regulation (EU) No 575/2013; Commission",,,
"ESRS E1-1 
Undertakings excluded from Paris-aligned",,Implementing Regulation (EU) 2022/2453,"Delegated Regulation 
(EU) 2020/1818, Article12.1 (d)",,137
"Benchmarks, paragraph 16 (g)",,"Template 1: Banking book – Climate Change 
transition risk: Credit quality of exposures by sector,","to (g), and Article 12.2",,
,,"emissions and residual maturity 
Article 449a",,,
ESRS E1-4,Indicator No. 4 Table #2 of,"Regulation (EU) No 575/2013; Commission 
Implementing Regulation (EU) 2022/2453",Delegated Regulation,,133-134
"GHG emission reduction targets, paragraph 34",Annex 1,Template 3: Banking book – Climate change,"(EU) 2020/1818, Article 6",,
ESRS E1-5,,transition risk: alignment metrics,,,
"Energy consumption from fossil sources 
disaggregated by sources (only high climate impact","Indicator No. 5 Table #1 and 
Indicator No. 5 Table #2 of Annex 1",,,,143
"sectors), paragraph 38",,,,,
"ESRS E1-5 Energy consumption and mix, paragraph 37","Indicator No. 5 Table #1 of 
Annex 1",,,,143
