0,1,2,3,4,5
,,,Benchmark Regulation,"Law 
referenceLaw",Reference in the
"Disclosure requirement and related 
datapoint",SFDR1 reference,Pillar 3 reference2,reference3,(26) reference4,"sustainability 
statements"
"ESRS 2 GOV-1 
Board’s gender diversity paragraph 21 (d)","Indicator number 13 of 
Table #1 of Annex 1",,Commission Delegated,,1. General disclosures
,,,"Regulation (EU) 2020/18165, 
Annex II",,1.a Governance
"ESRS 2 GOV-1 
Percentage of board members who are",,,"Delegated Regulation (EU) 
2020/1816, Annex II",,1. General disclosures
independent paragraph 21 (e),,,,,1.a Governance
"ESRS 2 GOV-4 
Statement on due diligence paragraph 30","Indicator number 10 
Table #3 of Annex 1",,,,"1. General disclosures  
1.a Governance"
"ESRS 2 SBM-1 
Involvement in activities related to fossil","Indicators number 4 
Table #1 of Annex 1","Article 449a Regulation (EU) No 
575/2013;","Delegated Regulation (EU) 
2020/1816, Annex II",,
fuel activities paragraph 40 (d) i,,Commission Implementing Regulation,,,
,,"(EU) 2022/24536 Table 1: Qualitative 
information on Environmental risk and",,,Not applicable
,,"Table 2: Qualitative information on 
Social risk",,,
"ESRS 2 SBM-1 
Involvement in activities related to","Indicator number 9 
Table #2 of Annex 1",,"Delegated Regulation (EU) 
2020/1816, Annex II",,Not applicable
chemical production paragraph 40 (d) ii,,,,,
"ESRS 2 SBM-1 
Involvement in activities related to","Indicator number 14 
Table #1 of Annex 1",,Delegated Regulation (EU),,
controversial weapons paragraph 40,,,"2020/18187, Article 12(1) 
Delegated Regulation (EU)",,Not applicable
(d) iii,,,"2020/1816, Annex II",,
"ESRS 2 SBM-1 
Involvement in activities related to",,,"Delegated Regulation (EU) 
2020/1818, Article 12(1)",,
cultivation and production of tobacco,,,Delegated Regulation (EU),,Not applicable
paragraph 40 (d) iv,,,"2020/1816, Annex II",,
"ESRS E1-1 
Transition plan to reach climate",,,,"Regulation 
(EU)",2. Climate change
neutrality by 2050 paragraph 14,,,,"2021/1119 
Article 2(1)",2.a Strategy
"ESRS E1-1 
Undertakings excluded from Paris-",,"Article 449a 
Regulation (EU) No 575/2013;","Delegated Regulation (EU) 
2020/1818, Article12.1 (d)",,
aligned Benchmarks paragraph 16 (g),,"Commission Implementing Regulation 
(EU) 2022/2453 Template 1: Banking","to (g), and Article 12.2",,2. Climate change
,,book-Climate Change transition risk:,,,2.a Strategy
,,"Credit quality of exposures by sector, 
emissions and residual maturity",,,
"ESRS E1-4 
GHG emission reduction targets","Indicator number 4 
Table #2 of Annex 1","Article 449a 
Regulation (EU) No 575/2013;","Delegated Regulation (EU) 
2020/1818, Article 6",,
paragraph 34,,Commission Implementing Regulation,,,"2. Climate change 
2.c Metrics and"
,,"(EU) 2022/2453 Template 3: Banking 
book – Climate change transition risk:",,,targets
