0,1
Disclosure Requirements in ESRS Covered by the Undertaking’s Sustainability Statement [IRO-2],
General Disclosures [ESRS 2],Section
General basis for preparation of sustainability statements [BP-1],"4.1 General Information on the Sustainability Statement – General 
basis for preparation of sustainability statement [BP-1]"
Disclosures in relation to specific circumstances [BP-2],"4.1 General Information on the Sustainability Statement – Disclosures 
in relation to specific circumstances [BP-2]"
"The role of the administrative, management and supervisory 
bodies [GOV-1]","4.1 General Information on the Sustainability Statement – The role of 
the administrative, management and supervisory bodies [GOV-1]"
"Disclosure Requirement GOV-1 – The role of the administrative, 
management and supervisory bodies [G1.GOV-1]","4.1 General Information on the Sustainability Statement – Role of 
administrative, management and supervisory bodies in business"
,conduct [G1.GOV-1]
"Information provided to and sustainability matters addressed by 
the undertaking’s administrative, management and supervisory","4.1 General Information on the Sustainability Statement – Information 
provided to and sustainability matters addressed by the undertaking’s"
bodies [GOV-2],"administrative, management and supervisory bodies [GOV-2]"
"Integration of sustainability-related performance in incentive 
schemes [GOV-3]","4.1 General Information on the Sustainability Statement – Integration of 
sustainability-related performance in incentive schemes [GOV-3]"
"Disclosure Requirement GOV-3 - Integration of sustainability-
related performance in incentive schemes [E1.GOV-3]","4.1 General Information on the Sustainability Statement – Integration of 
climate-related performance in incentive schemes in the form of"
,reduction targets [E1.GOV-3]
Statement on due diligence [GOV-4],"4.1 General Information on the Sustainability Statement – Statement 
on due diligence [GOV-4]"
"Risk management and internal controls over sustainability 
reporting [GOV-5]","4.1 General Information on the Sustainability Statement – Risk 
management and internal controls over sustainability reporting [GOV-5]"
"Strategy, business model and value chain [SBM-1]","4.1 General Information on the Sustainability Statement – Strategy, 
business model and value chain [SBM-1]"
Interests and views of stakeholders [SBM-2],"4.1 General Information on the Sustainability Statement – Interests and 
views of stakeholders [SBM-2]"
"Disclosure Requirement SBM-2 – Interests and views of 
stakeholders [S1.SBM-2]","4.1 General Information on the Sustainability Statement – Interests and 
views of stakeholders as regards own workforce [S1.SBM-2]"
"Disclosure Requirement SBM-2 – Interests and views of 
stakeholders [S2.SBM-2]","4.1 General Information on the Sustainability Statement – Interests and 
views of stakeholders related to workers in the value chain [S2.SBM-2]"
"Disclosure Requirement SBM-2 – Interests and views of 
stakeholders [S3.SBM-2]","4.1 General Information on the Sustainability Statement – Interests and 
views of stakeholders related to affected communities [S3.SBM-2]"
"Disclosure Requirement SBM-2 – Interests and views of 
stakeholders [S4.SBM-2]","4.1 General Information on the Sustainability Statement – Interests and 
views of stakeholders related to consumers and end-users [S4.SBM-2]"
"Material impacts, risks and opportunities and their interaction with 
strategy and business model [SBM-3]","4.1 General Information on the Sustainability Statement – Material 
impacts, risks and opportunities and their interaction with strategy and"
,business model [SBM-3]
"Description of the processes to identify and assess material 
impacts, risks and opportunities [IRO-1]","4.1 General Information on the Sustainability Statement – Description 
of the processes to identify and assess material impacts, risks and"
,opportunities [IRO-1]
"Disclosure Requirement related to ESRS 2 IRO-1 – Description of 
the processes to identify and assess material climate-related","4.1 General Information on the Sustainability Statement – Description 
of the processes to identify and assess material climate-related"
"impacts, risks and opportunities [E1.IRO-1]","impacts, risks and opportunities [E1.IRO-1]"
