0,1,2,3,4,5
T,he table below illustrates the datapoints in ESRS 2 and topical ESRS that derive from other EU legislation (as specified in Appendix B of ERS 2).,,,,
"Disclosure  
Requirement  and",SFDR (1) reference,Pillar 3 (2) reference,Benchmark,EU Climate Law (4),Section
related datapoint,,,Regulation(3) reference,reference,
"ESRS 2 GOV-1 
Board's gender diversity","Indicator number 13 of 
Table #1 of Annex 1",,"Commission Delegated 
Regulation (EU)",,"GOV-1 GOV-2 The 
Governance System"
paragraph 21 (d),,,"2020/1816 (5), 
Annex II",,
"ESRS 2 GOV-1 
Percentage of board",,,"Delegated Regulation 
(EU) 2020/1816,",,"GOV-1 GOV-2 The 
Governance System"
"members who are 
independent paragraph",,,Annex II,,
21 (e),,,,,
"ESRS 2 GOV-4 
Statement on due","Indicator number 10 
Table #3 of Annex 1",,,,"GOV-4 The Due Diligence 
Process of the ERG Group"
diligence paragraph 30,,,,,"Anti-corruption: the 
commitment to ethical"
,,,,,integrity
"ESRS 2 SBM-1 
Involvement in activities","Indicators number 4 
Table #1 of Annex 1","Article 449a Regulation 
(EU) No 575/2013;","Delegated Regulation 
(EU) 2020/1816,",,n.a
"related to fossil fuel 
activities paragraph 40",,"Commission 
Implementing Regulation",Annex II,,
(d) i,,"(EU) 2022/2453 (6) 
Table 1: Qualitative",,,
,,"information on 
Environmental risk and",,,
,,"Table 2: Qualitative 
information on Social risk",,,
"ESRS 2 SBM-1 
Involvement in activities","Indicator number 9 
Table #2 of Annex 1",,"Delegated Regulation 
(EU) 2020/1816,",,n.a
"related to chemical 
production paragraph",,,Annex II,,
40 (d) ii,,,,,
"ESRS 2 SBM-1 
Involvement in activities","Indicator number 14 
Table #1 of Annex 1",,"Delegated Regulation 
(EU) 2020/1818 (7),",,n.a
"related to controversial 
weapons paragraph 40",,,"Article 12(1) Delegated 
Regulation (EU)",,
(d) iii,,,"2020/1816, 
Annex II",,
"ESRS 2 SBM-1 
Involvement in activities",,,"Delegated Regulation 
(EU) 2020/1818,",,n.a
"related to cultivation and 
production of tobacco",,,"Article 12(1) Delegated 
Regulation (EU)",,
paragraph 40 (d) iv,,,"2020/1816, 
Annex II",,
"ESRS E1-1 
Transition plan to reach",,,,"Regulation (EU) 
2021/1119, Article 2(1)","E1-1 E1-2 E1-3 E1-4 
Transition Plan Policies"
"climate neutrality by 
2050 paragraph 14",,,,,and Actions Objectives
"ESRS E1-1 
Undertakings excluded",,"Article 449a Regulation 
(EU) No 575/2013;","Delegated Regulation 
(EU) 2020/1818,",,"E1-1 E1-2 E1-3 E1-4 
Transition Plan Policies"
"from Paris-aligned 
Benchmarks paragraph",,"Commission 
Implementing Regulation","Article12.1 (d) to (g), and 
Article 12.2",,and Actions Objectives
16 (g),,"(EU) 2022/2453 
Template 1: Banking",,,
