0,1,2,3
Sustainability statements appendix,,,
"Statement on due diligence  
ESRS 2  GOV-4 - Appendix table 1",,"Content index of material disclosure requirements
ESRS 2 IRO-2 - Appendix table 2",
Core elements of due diligence,Page,List of material disclosure requirements,Page
"a) Embedding due diligence in governance, strategy and business model","43, 44, 53-59",ESRS 2 – General disclosures,
b) Engaging with affected stakeholders in all key steps of the due diligence,43-48,"General basis for preparation of the sustainability statements
BP-1",42
,,"Disclosures in relation to specific circumstances
BP-2",42
,,"The role of the administrative, management, and supervisory bodies
GOV-1",43
c) Identifying and assessing adverse impacts,49-59,"Information provided to, and sustainability matters addressed by the under-
taking’s administrative, management and supervisory bodies","43, 44"
,,GOV-2,
d) Taking actions to address those adverse impacts,"63, 64, 69, 71, 73, 84, 85,","Integration of sustainability-related performance in incentive schemes 
GOV-3",44
,"88, 91-93, 96, 98, 99","Statement on due diligence
GOV-4",103
,,"Risk management and internal controls over sustainability reporting 
GOV-5",45
e) Tracking the effectiveness of these efforts and communicating,"64-66, 69, 73, 74, 83, 84,","Strategy, business model and value chain
SBM-1",6
,"85, 86, 88, 92, 93, 97-99","Interests and views of stakeholders
SBM-2",45-48
,,"Material impacts, risks and opportunities and their interaction with strategy 
and business model",53-59
,,SBM-3,
,,"Description of the processes to identify and assess material impacts, risks 
and opportunities",49-52
,,IRO-1,
,,"Disclosure requirements in ESRS covered by the undertaking’s sustainability 
statements",53
,,IRO-2,
,,E1 – Climate change,
,,"Integration of sustainability-related performance in incentive schemes
ESRS 2 GOV-3",44
,,"Transition plan for climate change mitigation
E1-1","61, 62"
,,"Material impacts, risks and opportunities and their interaction with strategy 
and business model","54, 62, 63"
,,ESRS 2 SBM-3,
,,"Description of the processes to identify and assess material climate-related 
impacts, risks and opportunities","51, 52"
,,ESRS 2 IRO-1,
,,"Policies related to climate change mitigation and adaptation
E1-2",63
