0,1,2,3,4,5,6
"Disclosure 
requirement",Datapoint,SFDR reference,Pillar reference,"Benchmark 
Regulation","EU Climate Law 
reference",Page number
,,,,reference,,
ESRS E3-4,Total water consumption in m3 per net revenue on own operations paragraph 29,●,,,,Not material
ESRS 2- IRO 1,E4 paragraph 16 (a) i,●,,,,71
ESRS 2- IRO 1,E4 paragraph 16 (b),●,,,,71
ESRS 2- IRO 1,E4 paragraph 16 (c),●,,,,71
ESRS E4-2,Sustainable land / agriculture practices or policies paragraph 24 (b),●,,,,71
ESRS E4-2,Sustainable oceans / seas practices or policies paragraph 24 (c),●,,,,71
ESRS E4-2,Policies to address deforestation paragraph 24 (d),●,,,,71
ESRS E5-5,Non-recycled waste paragraph 37 (d),●,,,,74
ESRS E5-5,Hazardous waste and radioactive waste paragraph 39,●,,,,73
ESRS 2- SBM3,Risk of incidents of forced labour paragraph 14 (f),●,,,,81
- S1,,●,,,,
ESRS S1-1,Human rights policy commitments paragraph 20,,,●,,81
ESRS S1-1,"Due diligence policies on issues addressed by the fundamental International Labor Organisation Conventions 1 to 
8, paragraph 21",,,,,81
ESRS S1-1,Processes and measures for preventing trafficking in human beings paragraph 22,●,,,,81
ESRS S1-1,Workplace accident prevention policy or management system paragraph 23,●,,,,87
ESRS S1-3,Grievance/complaints handling mechanisms paragraph 32 (c),●,,,,82
ESRS S1-14,Number of fatalities and number and rate of work-related accidents paragraph 88 (b) and (c),●,,●,,88
ESRS S1-14,"Number of days lost to injuries, accidents, fatalities or illness paragraph 88 (e)",●,,,,Phase-in
ESRS S1-16,Unadjusted gender pay gap paragraph 97 (a),●,,●,,86
ESRS S1-16,Excessive CEO pay ratio paragraph 97 (b),●,,,,86
ESRS S1-17,Incidents of discrimination paragraph 103 (a),●,,,,88
ESRS S1-17,Non-respect of UNGPs on Business and Human Rights and OECD paragraph 104 (a),●,,●,,81
ESRS 2- SBM3,Significant risk of child labour or orced labour in the value chain paragraph 11 (b),●,,,,90
– S2,,●,,,,
ESRS S2-1,Human rights policy commitments paragraph 17,●,,,,91
ESRS S2-1,Policies related to value chain workers paragraph 18,●,,●,,"90,91"
ESRS S2-1,Non-respect of UNGPs on Business and Human Rights principles and OECD guidelines paragraph 19,,,,,91
Bavarian Nordic,Annual Report 2024,,,,,107
