0,1,2,3,4,5,6
List of datapoints in cross-cutting and topical standards that derive from other EU legislation,,,,,,
Disclosure requirement and,,,Benchmark Regulation,"EU 
Climate Law",,
related datapoint,SFDR reference,Pillar 3 reference,Reference,Reference,Section,Pages
"ESRS 2 GOV-1 
Board’s gender diversity","Indicator no. 13 of 
Table #1 of",,"Commission Dele-
gated Regulation (EU)",,CGS,86
paragraph 21 (d),Annex 1,,"2020/1816, Annex II",,,
"ESRS 2 GOV-1 
Percentage of board mem-",,,"Delegated Regulation 
(EU) 2020/1816,",,CGS,91
"bers who are independent, 
paragraph 21 (e)",,,Annex II,,,
"ESRS 2 GOV-4 
Statement on due diligence","Indicator no. 10 
Table #3 of",,,,GSS,152
paragraph 30,Annex 1,,,,,
"ESRS 2 SBM-1 
Involvement in activities","Indicator no. 4 
Table #1 of","Article 449a Regulation 
(EU) No 575/2013;","Delegated Regulation 
(EU) 2020/1816,",,Non-material,
"related to fossil fuel activi-
ties paragraph 40 (d) i",Annex 1,"Commission Implementing 
Regulation (EU)",Annex II,,,
,,"2022/2453, Table 1: Quali-
tative information on",,,,
,,"Environmental risk and 
Table 2: Qualitative infor-",,,,
,,mation on Social risk,,,,
"ESRS 2 SBM-1 
Involvement in activities","Indicator no. 9 
Table #2 of",,"Delegated Regulation 
(EU) 2020/1816,",,Non-material,
"related to chemical pro-
duction paragraph 40 (d) ii",Annex 1,,Annex II,,,
"ESRS 2 SBM-1 
Involvement in activities","Indicator no. 14 
Table #1 of",,"Delegated Regulation 
(EU) 2020/1818, Article",,Non-material,
"related to controversial 
weapons paragraph 40 (d)",Annex 1,,"12(1), Delegated Regu-
lation (EU) 2020/1816,",,,
iii,,,Annex II,,,
"ESRS 2 SBM-1 
Involvement in activities",,,"Delegated Regulation 
(EU) 2020/1818, Article",,Non-material,
"related to cultivation and 
production of tobacco",,,"12(1), Delegated Regu-
lation (EU) 2020/1816,",,,
paragraph 40 (d) iv,,,Annex II,,,
"ESRS E1-1 
Transition plan to reach",,,,"Regulation 
(EU)",GSS,103-104
"climate neutrality by 2050 
paragraph 14",,,,"2021/1119, 
Article 2(1)",,
"ESRS E1-1 
Undertakings excluded",,"Article 449a Regulation 
(EU) No 575/2013;","Delegated Regulation 
(EU) 2020/1818, Article",,GSS,104
"from Paris-aligned Bench-
marks paragraph 16 (g)",,"Commission Implementing 
Regulation (EU)","12.1 (d) to (g), and 
Article 12.2",,,
,,"2022/2453, Template 1: 
Banking book – Climate",,,,
,,"change transition risk: 
Credit quality of exposures",,,,
,,"by sector, emissions and 
residual maturity",,,,
"ESRS E1-4 
GHG emission reduction","Indicator no. 4 
Table #2 of","Article 449a Regulation 
(EU) No 575/2013;","Delegated Regulation 
(EU) 2020/1818,",,GSS,108-110
targets paragraph 34,Annex 1,"Commission Implementing 
Regulation (EU)",Article 6,,,
,,"2022/2453, Template 3: 
Banking book – Climate",,,,
,,"change transition risk: 
alignment metrics",,,,
"ESRS E1-5 
Energy consumption from","Indicator no. 5 
Table #1 and",,,,GSS,110
"fossil sources disaggre-
gated by sources (only high","Indicator no. 5 
Table #2 of",,,,,
"climate impact sectors) 
paragraph 38",Annex 1,,,,,
"ESRS E1-5 Energy 
consumption and mix","Indicator no. 5 
Table #1 of",,,,GSS,110
paragraph 37,Annex 1,,,,,
