0,1,2,3,4,5
"70
Coca-Cola HBC Integrated Annual Report 2024",,Strategic Report,"Corporate Governance
Financial Statements",Swiss Statutory Reporting,Supplementary Information
Sustainability Statement continued,,,,,
Disclosure Requirement,,Benchmark Regulation,"EU
Climate Law","Location in the 
sustainability","Materiality of  
information"
and related datapoint,"SFDR ( 23 ) reference
Pillar 3 ( 24 ) reference",( 25 ) reference,( 26 ) reference,statement,(Group level)
ESRS E1-7,,,"Regulation (EU) 2021/1119, 
Article 2(1)",p.98,Material for Group
"GHG removals and carbon 
credits paragraph 56",,,,,Level
ESRS E1-9,,Delegated Regulation (EU),,–,"Material for the 
Group"
Exposure of the benchmark portfolio,,"2020/1818, Annex II Delegated 
Regulation (EU) 2020/1816,",,,(use of phased-in
"to climate-related physical risks 
paragraph 66",,Annex II,,,option)
ESRS E1-9,Article 449a Regulation (EU) No,,,–,"Material for the 
Group"
Disaggregation of monetary amounts,"575/2013; Commission 
Implementing Regulation (EU)",,,,(use of phased-in
"by acute and chronic physical risk 
paragraph 66 (a)",,2022/2453 paragraphs 46 and 47;,,,option)
,"Template 5: Banking book – 
Climate change physical risk:",,,,
ESRS E1-9,,Exposures subject to physical risk.,,–,"Material for the 
Group"
"Location of significant assets at 
material physical risk paragraph 66 (c)",,,,,(use of phased-in
,,,,,option)
ESRS E1-9 Breakdown of the carrying,Article 449a Regulation (EU),,,–,"Material for the 
Group"
value of its real estate assets by,"No 575/2013; Commission 
Implementing Regulation (EU)",,,,(use of phased-in
"energy-efficiency classes paragraph 
67 (c)",2022/2453 paragraph 34;,,,,option)
,"Template 2:Banking book – 
Climate change transition risk:",,,,
,property –Energy efficiency of,Loans collateralised by immovable,,,
,the collateral,,,,
ESRS E1-9,,"Delegated Regulation (EU) 
2020/1818, Annex II",,–,"Material for the 
Group"
"Degree of exposure of the portfolio 
to climate-related opportunities",,,,,(use of phased-in
paragraph 69,,,,,option)
ESRS E2-4,Indicator number 8 Table #1,,,–,Not Material
Amount of each pollutant listed in,"of Annex 1 Indicator number 
2 Table #2 of Annex 1",,,,
"Annex II of the E-PRTR Regulation 
(European Pollutant Release and",Indicator number 1 Table #2,,,,
"Transfer Register) emitted to air,","of Annex 1 Indicator number 
3 Table #2 of Annex 1",,,,
"water and soil, paragraph 28",,,,,
ESRS E3-1,"Indicator number 7 Table #2 
of Annex 1",,,p.104,Material for Group
"Water and marine resources  
paragraph 9",,,,,Level
