0,1,2,3,4,5,6
"I. Letter to 
Shareholders and",,"II. Consolidated 
Financial Statements","III. Sustainability 
Statement","IV. Consolidated 
Management Report","V. Consolidated 
VI. Statement of 
Financial Statements
Responsibility",
Other Stakeholders,,Audit Report,Verification Report,,,
Standard,"Disclosure 
Requirement",Paragraph(1),Reference(2),Materiality,Section of the Report,
ESRS E1,E1-1,14; 16,LC,Material,25.2.1.,
ESRS E1,E1-1,16 g,P3/BNCH,Material,25.2.1.,
ESRS E1,E1-4,34,SFDR/P3/BNCH,Material,25.2.7.1.,
ESRS E1,E1-5,37,SFDR,Material,25.2.7.2.,
ESRS E1,E1-5,38,SFDR,Material,25.2.7.2.,
ESRS E1,E1-5,40,SFDR,Material,25.2.7.2.,
ESRS E1,E1-5,41,SFDR,Material,25.2.7.2.,
ESRS E1,E1-5,42,SFDR,Material,25.2.7.2.,
ESRS E1,E1-5,43,SFDR,Material,25.2.7.2.,
ESRS E1,E1-6,44,SFDR/P3/BNCH,Material,25.2.7.3.,
ESRS E1,E1-6,53,SFDR/P3/BNCH,Material,25.2.7.3.,
ESRS E1,E1-6,54,SFDR/P3/BNCH,Material,25.2.7.3.,
ESRS E1,E1-6,55,SFDR/P3/BNCH,Material,25.2.7.3.,
ESRS E1,E1-7,56 a,LC,Material,25.2.7.4.,
ESRS E1,E1-7,56 b,LC,Material,25.2.7.4.,
ESRS E1,E1-9,66,BNCH,Material,,
ESRS E1,E1-9,"66 a, c",P3,Material,"No response will be given this year as Endesa is taking 
advantage of the “phase in” option provided for in the",
ESRS E1,E1-9,67 c,P3,Material,Corporate Sustainability Reporting Directive (CSRD).,
ESRS E1,E1-9,69,BNCH,Material,,
ESRS E2,E2-4,28,SFDR,Material,25.3.4.2.,
ESRS E3,E3-1,"9, 11",SFDR,Material,25.4.2.,
ESRS E3,E3-1,13,SFDR,Material,25.4.2.,
ESRS E3,E3-1,14,SFDR,Material,25.4.2.,
ESRS E3,E3-4,28 c,SFDR,Material,25.4.4.2.,
ESRS E3,E3-4,29,SFDR,Material,25.4.4.2.,167
ESRS E4,E4 SBM-3,16 a i,SFDR,Material,25.5.2.,
ESRS E4,E4 SBM-3,16 b,SFDR,Material,25.5.2.,
ESRS E4,E4 SBM-3,16 c,SFDR,Material,25.5.2.,
ESRS E4,E4-2,24 b,SFDR,No Material,—,
ESRS E4,E4-2,24 c,SFDR,No Material,—,
ESRS E4,E4-2,24 d,SFDR,Material,25.5.4.,
ESRS E5,E5-5,37 d,SFDR,Material,25.6.4.2.,
ESRS E5,E5-5,39,SFDR,Material,25.6.4.2.,
ESRS S1,S1 SBM-3,14 f,SFDR,Material,26.1.2.,
ESRS S1,S1 SBM-3,14 g,SFDR,Material,26.1.1.,
ESRS S1,S1-1,20,SFDR,Material,26.1.1.,
ESRS S1,S1-1,21,P3,Material,26.1.1.,
ESRS S1,S1-1,22,SFDR,Material,26.1.1.,
ESRS S1,S1-1,23,SFDR,Material,26.1.2.,
ESRS S1,S1-3,32 c,SFDR,Material,26.1.3.2.,
ESRS S1,S1-14,"88 b, c",SFDR/BNCH,Material,26.1.5.9.,
ESRS S1,S1-14,88 e,SFDR,Material,26.1.5.9.,
ESRS S1,S1-16,97 a,SFDR/BNCH,Material,26.1.5.11,
ESRS S1,S1-16,97 b,SFDR,Material,26.1.5.11,
ESRS S1,S1-17,103 a,SFDR,Material,26.1.5.12.,
ESRS S1,S1-17,104 a,SFDR/BNCH,Material,26.1.5.12.,
ESRS S2,S2 SBM-3,11 b,SFDR,Material,26.2.1.,
ESRS S2,S2-1,17,SFDR,Material,26.2.2.,
ESRS S2,S2-1,18,SFDR,Material,26.2.2.,
ESRS S2,S2-1,19,SFDR/BNCH,Material,26.2.2.,
ESRS S2,S2-4,36,SFDR,Material,26.2.4.,
