0,1,2,3
Board of Directors' Report and Financial Statements Sustainability statement,,,
Topic,Disclosure requirements,,Index
Strategy,SBM-2 – Interests and views of stakeholders,,45
Strategy,"SBM-3 - Material impacts, risks and opportunities and their interaction with strategy and business model",,48-54
"Impact, risk and opportunity management","IRO-1 - Description of the processes to identify and assess material impacts, risks and opportunities",,55
"Impact, risk and opportunity management",IRO-2 – Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,,61-69
Topic,Disclosure requirements,Index,
Environment,,,
Climate change,GOV-3 Integration of sustainability related performance in incentive schemes,36-37,
Climate change,E1-1 Transition plan for climate change mitigation,81,
Climate change,"SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",48-54,
,"IRO-1 Description of the processes to identify and assess material climate-related impacts, risks",55-56,
Climate change,and opportunities,,
Climate change,E1-2 Policies related to climate change mitigation,82,
Climate change,E1-3 Actions and resources in relation to climate change policies,82-83,
Climate change,E1-4 Targets related to climate change mitigation,83-84,
Climate change,"E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions",84,
Social,,,
Own workforce,GOV-3 Integration of sustainability-related performance in incentive schemes,36-37,
Own workforce,SBM-2 Interests and views of stakeholders,45-46,
Own workforce,"SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",48-54,
Own workforce,S1-1 Policies related to own workforce,95-97,
Own workforce,S1-2 Processes for engaging with own workers and workers’ representatives,97-98,
Own workforce,S1-3 Processes to remediate negative impacts and channels for own workers to raise concerns,98,
,"S1-4 Taking action on material impacts on own workforce, and approaches to mitigating material risks and",98-103,
Own workforce,"pursuing material opportunities related to own workforce, and effectiveness of those actions",,
,"S1-5 Targets related to managing material negative impacts, advancing positive impacts, and managing",103-104,
Own workforce,material risks and opportunities,,
Own workforce,S1-6 Characteristics of the undertaking’s employees,106-106,
Own workforce,S1-9 Diversity metrics,109,
Own workforce,S1-13 Training and skills development metrics,109,
Own workforce,S1-14 Health and safety metrics,110,
Own workforce,S1-15 Work-life balance metrics,110,
Own workforce,S1-16 Remuneration metrics,111,
Own workforce,"S1-17 Incidents, complaints and severe human rights impacts",111,
Consumers and end-users,SBM-2 Interests and views of stakeholders,112-124,
