0,1,2,3,4,5
"Disclosure Requirement and 
related datapoint",SFDR reference1),Pillar 3 reference2),"Benchmark 
Regulation reference3)","EU Climate 
Law reference4)",Index
ESRS 2 GOV-1 Board's gender diversity,Indicator number 13 of Table #1,,Commission Delegated,,33
paragraph 21 (d),of Annex 1,,"Regulation (EU) 2020/1816,",,
,,,Annex II5),,
ESRS 2 GOV-1 Percentage of board,,,Delegated Regulation (EU),,33
members who are independent,,,"2020/1816, Annex II",,
paragraph 21 (e),,,,,
ESRS 2 GOV-4 Statement on due diligence,Indicator number 10 Table #3,,,,37
paragraph 30,of Annex 1,,,,
ESRS 2 SBM-1 Involvement in activities,Indicators number 4 Table #1,Article 449a Regulation (EU) No,Delegated Regulation (EU),,Not applicable
related to fossil fuel activities paragraph,of Annex 1,575/2013; Commission Implementing,"2020/1816, Annex II",,to F-Secure
40 (d) i,,Regulation (EU) 2022/2453 Table,,,
,,1: Qualitative information on,,,
,,Environmental risk and Table 2:,,,
,,Qualitative information on social risk6),,,
ESRS 2 SBM-1 Involvement in activities,Indicator number 9 Table #2 of,,Delegated Regulation (EU),,Not applicable
related to chemical production paragraph,Annex 1,,"2020/1816, Annex II",,to F-Secure
40 (d) ii,,,,,
ESRS 2 SBM-1 Involvement in activities,Indicator number 14 Table #1 of,,Delegated Regulation (EU),,Not applicable
related to controversial weapons,Annex 1,,"2020/1818, Article 12(1); Delegated",,to F-Secure
paragraph 40 (d) iii,,,"Regulation (EU) 2020/1816,",,
,,,Annex II7),,
ESRS 2 SBM-1 Involvement in activities,,,Delegated Regulation (EU),,Not applicable
related to cultivation and production of,,,"2020/1818, Article 12(1); Delegated",,toF-Secure
tobacco paragraph 40 (d) iv,,,"Regulation (EU) 2020/1816,",,
,,,Annex II,,
ESRS E1-1 Transition plan to reach climate,,,,Regulation,81
neutrality by 2050 paragraph 14,,,,"(EU) 2021/1119,",
,,,,Article 2(1),
ESRS E1-1 Undertakings excluded from,,Article 449a Regulation (EU) No,Delegated Regulation (EU),,81
Paris-aligned Benchmarks paragraph,,575/2013; Commission Implementing,"2020/1818 , Article 12.1 (d) to (g),",,
16 (g),,Regulation (EU) 2022/2453 Template,and Article 12.2,,
,,1: Banking book Climate Change,,,
