0,1,2
Content index of data points that derive from other EU legislation (IRO-2-56),,
Data points,Location in the sustainability statement,
ESRS 2 GOV-1 Board's gender diversity paragraph 21 (d),"2.2 The Board of Directors of the company
 Crédit Mutuel Arkéa",
,"4.1.2.3.1 The role of the administrative, management 
and supervisory bodies (GOV-1)",
ESRS 2 GOV-1 Percentage of board members who are independent paragraph 21 (e),2.2 The Board of Directors of Crédit Mutuel Arkéa,
ESRS 2 GOV-4 Statement on due diligence paragraph 30,4.1.3.1 Statement on due diligence (GOV-4),
ESRS 2 SBM-1 Involvement in activities related to fossil fuel activities paragraph 40 (d) i,,
ESRS 2 SBM-1 Involvement in activities related to chemical production paragraph 40 (d) ii,Non-material,
ESRS 2 SBM-1 Involvement in activities related to controversial weapons paragraph 40 (d) iii,,
ESRS 2 SBM-1 Involvement in activities related to cultivation and production of tobacco paragraph 40 (d) iv,,
ESRS E1-1 Transition plan to reach climate neutrality by 2050 paragraph 14,4.2.2.2 The transition plan (E1-1),
ESRS E1-1 Undertakings excluded from Paris-aligned benchmarks paragraph 16 (g),4.2.2.2 The transition plan (E1-1),
ESRS E1-4 GHG emission reduction targets paragraph 34,"4.2.2.4.1.2 Targets for the Group's own operations
4.2.2.4.2.2 Targets for the banking business",
,"4.2.2.4.3.2 Targets for the asset management business
4.2.2.4.4.2 Targets for the life insurance business",4
"ESRS E1-5 Energy consumption from fossil sources disaggregated by sources (only high climate impact sectors) paragraph 
38",Non-material,
ESRS E1-5 Energy consumption and mix paragraph 37,"4.2.2.4.1.1 Measuring the carbon footprint of the 
Group's own operations",
ESRS E1-5 Energy intensity associated with activities in high climate impact sectors paragraphs 40 to 43,Non-material,
"ESRS E1-6 Gross Scope 1, 2, 3 and Total GHG emissions paragraph 44",4.2.2.4 The Group’s carbon footprint,
ESRS E1-6 Gross GHG emissions intensity paragraphs 53 to 55,,
ESRS E1-7 GHG removals and carbon credits paragraph 56,4.2.2.4.5 Carbon offsetting,
ESRS E1-9 Exposure of the benchmark portfolio to climate-related physical risks paragraph 66,,
ESRS E1-9 Disaggregation of monetary amounts by acute and chronic physical risk paragraph 66 (a),The undertaking may omit the information prescribed,
ESRS E1-9 Location of significant assets at material physical risk paragraph 66 (c).,"by ESRS E1-9 for the first year of preparation of its 
sustainability statement.",
ESRS E1-9 Breakdown of the carrying value of its real estate assets by energy-efficiency classes paragraph 67 (c).,,
ESRS E1-9 Degree of exposure of the portfolio to climate- related opportunities paragraph 69,,
"ESRS E2-4 Amount of each pollutant listed in Annex II of the E-PRTR Regulation (European Pollutant Release and Transfer 
Register) emitted to air, water and soil, paragraph 28",Non-material,
ESRS E3-1 Water and marine resources (paragraph 9),"4.2.4.2 Policies, actions and targets relating to banking 
activities",
ESRS E3-1 Dedicated policy paragraph 13,4.2.4.3 Water consumption at Group sites,
ESRS E3-1 Sustainable oceans and seas paragraph 14,"4.2.4.2 Policies, actions and targets relating to banking 
activities",
ESRS E3-4 Total water recycled and reused paragraph 28 (c),Non-material,
ESRS E3-4 Total water consumption in m3 per net revenue on own operations paragraph 29,,
ESRS 2- SBM 3 - E4 paragraph 16 (a) i,4.2.3.5 Impacts and actions related to Group sites,
ESRS 2- SBM 3 - E4 paragraph 16 (b),4.2.3.5 Impacts and actions related to Group sites,
ESRS 2- SBM 3 - E4 paragraph 16(c),4.2.3.5 Impacts and actions related to Group sites,
ESRS 2- SBM 3 - E4 paragraph 16(c),4.2.3.5 Impacts and actions related to Group sites,
ESRS E4-2 Sustainable land / agriculture practices or policies paragraph 24 (b),4.2.3.4.2 Group policies relating to biodiversity issues,
ESRS E4-2 Sustainable oceans / seas practices or policies paragraph 24 (c),4.2.3.4.2 Group policies relating to biodiversity issues,
ESRS E4-2 Policies to address deforestation paragraph 24 (d),4.2.3.4.2 Group policies relating to biodiversity issues,
