0,1
Data points,Location in the sustainability statement
ESRS E5-5 Non-recycled waste paragraph 37 (d),Non-material
ESRS E5-5 Hazardous waste and radioactive waste paragraph 39,
ESRS 2- SBM3 - S1 Risk of incidents of forced labour paragraph 14 (f),Non-material
ESRS 2- SBM3 - S1 Risk of incidents of child labour paragraph 14 (g),Non-material
ESRS S1-1 Human rights policy commitments paragraph 20,"4.3.1.2 Human rights related to company personnel
 4.6 Duty of care plan"
"ESRS S1-1 Due diligence policies on issues addressed by the fundamental International Labor Organisation 
Conventions 1 to 8, paragraph 21",4.3.1.2 Human rights relating to company employees
ESRS S1-1 Processes and measures for preventing trafficking in human beings paragraph 22,Non-material
ESRS S1-1 Workplace accident prevention policy or management system paragraph 23,4.3.2.4.1 Health and safety at work
ESRS S1-3 Grievance/complaints handling mechanisms paragraph 32 (c),4.3.2.4.1 Health and safety at work
Number of fatalities and number and rate of work-related accidents paragraph 88 (b) and (c),4.3.2.4.1 Health and safety at work
"Number of days lost to injuries, accidents, fatalities or illness paragraph 88 (e)",4.3.2.4.1 Health and safety at work
ESRS S1-16 Unadjusted gender pay gap paragraph 97 (a),4.3.2.5.3 Gender diversity and balance
ESRS S1-16 Excessive CEO pay ratio paragraph 97 (b),4.3.2.3.3 Pay policy
ESRS S1-17 Incidents of discrimination paragraph 103 (a),4.3.2.4.1 Health and safety at work
ESRS S1-17 Non-respect of UNGPs on Business and Human Rights and OECD paragraph 104 (a),4.3.1.4 Serious human rights incidents
ESRS 2- SBM3 – S2 Significant risk of child labour or forced labour in the value chain paragraph 11 (b),
ESRS S2-1 Human rights policy commitments paragraph 17,
ESRS S2-1 Policies related to value chain workers paragraph 18,
"ESRS S2-1 Non-respect of the Guiding Principles on Business and Human Rights on Business and OECD guidelines paragraph
19",
"ESRS S2-1 Due diligence policies on issues addressed by the fundamental International Labor Organisation Conventions 1 to 
8, paragraph 19",Non-material
ESRS S2-4 Human rights issues and incidents connected to its upstream and downstream value chain paragraph 36,
ESRS S3-1 Human rights policy commitments paragraph 16,
"ESRS S3-1 Non-respect of the Guiding Principles on Business and Human Rights on Business, ILO principles and/or OECD 
guidelines paragraph 17",
ESRS S3-4 Human rights issues and incidents paragraph 36,
ESRS S4-1 Policies related to consumers and end-users paragraph 16,"4.3.1.1 Human rights related to consumers and end 
users"
,4.6 Duty of care plan
"ESRS S4-1 Non-respect of the Guiding Principles on Business and Human Rights on Business and OECD guidelines paragraph
17","4.3.1.1 Impacts, risks and opportunities related to 
consumers and/or end-users."
ESRS S4-4 Human rights issues and incidents paragraph 35,4.3.1.4 Serious human rights incidents
ESRS G1-1 United Nations Convention against Corruption paragraph 10 (b),Not applicable
ESRS G1-1 Protection of whistleblowers paragraph 10 (d),Not applicable
ESRS G1-4 Fines for violation of anti-corruption and anti-bribery laws paragraph 24 (a),Non-material
ESRS G1-4 Standards of anti-corruption and anti-bribery paragraph 24 (b),Non-material
