0,1,2,3,4,5,6,7
Disclosure,Paragraph,Page,Comments,Disclosure,Paragraph,Page,Comments
,16,138,,ESRS S4 Consumers and end-users,Not Material,,
,17,138,,ESRS G1 Business Conduct,,,
,18,138,,"Impacts, risks, and opportunity management",,,
,19,138,,"ESRS 2 GOV-1 – The role of the administrative, 
management and supervisory bodies",5,142,
,ESRS 2 62,138,,ESRS 2 IRO-1 – Description of the processes to,6,143,
"S2-2 Processes of engaging with value chain workers 
about impacts",20,139,,"identify and assess material impacts, risks and",,,
,22,139,,opportunities,,,
,23,139,,G1-1 Corporate culture and business conduct policies,7,"143, 144",
S2-3 Processes to remediate negative impacts and,25,139,,,9,143,
channels for value chain workers to raise concerns,,,,,10,"143, 144",
,27,139,,G1-2 Management of relationships with suppliers,12,145,
,28,139,,,14,145,
,29,,Not applicable to,,15,145,
,,,CTP,G1-3 Prevention and detection of corruption/bribery,16,145,
"S2-4 Taking action on material impacts on value chain 
workers, approaches to mitigating material risks and",30,139,,,18,145,
pursuing material opportunities related to value chain,,,,,19,,"Not applicable to 
CTP"
"workers, and the effectiveness of those actions",,,,,20,145,
,31,139,,,21,145,
,32,139,,Metrics and targets,,,
,33,139,,G1-4 Confirmed incidents of corruption or bribery,22,145,
,34,139,,,24,145,
,35,139,,,26,145,
,36,139,,G1-5 Political influence and lobbying activities,Not Material,,
,37,139,,G1-6 Payment practices,31,146,
,38,139,,,33,146,
,ESRS 2 62,,,,,,
Metrics and targets,,,,,,,
"S2-5 Targets related to managing material negative 
impacts, advancing positive impacts, and managing",39,,Not applicable,,,,
material risks and opportunities,,,,,,,
,41,,,,,,
,42,,,,,,
,ESRS 2 72,139,,,,,
ESRS S3 Affected communities,Not Material,,,,,,
