0,1,2,3,4,5
"Environmental standards
Disclosure requirement",Section,Page,"Social standards
Disclosure requirement",Section,Page
ESRS E2 — Pollution,,,ESRS S1 — Own workforce,,
"E2-1
Policies related to pollution",SUS,78,"S1-1
Policies related to own workforce",SUS,83-84
"E2-2
Actions and resources related to pollution",-,-,"S1-2
Processes for engaging with own workers and workers’ representatives about impacts",SUS,85
"E2-3
Targets related to pollution",-,-,"S1-3
Processes to remediate negative impacts and channels for own workers to raise concerns",SUS,87-88
"E2-4
Pollution of air, water, and soil",-,-,"S1-4
Taking action on material impacts on own workforce, and approaches to managing material 
risks and pursuing material opportunities related to own workforce, and effectiveness of",SUS,83
"E2-5
Substances of concern and substances of very high concern",-,-,those actions,,
"E2-6
Anticipated financial effects from material pollution-related risks and opportunities",-,-,"S1-5
Targets related to managing material negative impacts, advancing positive impacts,",SUS,80
ESRS E3 — Water and marine resources,,,and managing material risks and opportunities,,
"E3-1
Policies related to water and marine resources",SUS,78,"S1-6
Characteristics of the undertaking’s employees",SUS,106
"E3-2
Actions and resources related to water and marine resources",-,-,"S1-7
Characteristics of non-employee workers in the undertaking’s own workforce",-,-
"E3-3
Targets related to water and marine resources",-,-,"S1-8
Collective bargaining coverage and social dialogue",-,-
"E3-4
Water consumption",SUS,101,"S1-9
Diversity metrics",SUS,"101, 106"
"E3-5
Anticipated financial effects from material water and marine resources-related risks",-,-,"S1-10
Adequate wages",SUS,84
and opportunities,,,"S1-11
Social protection",-,-
,,,"S1-12
Persons with disabilities",-,-
ESRS E5 — Resource use and circular economy,,,"S1-13
Training and skills development metrics",SUS,105
"E5-1
Policies related to resource use and circular economy",SUS,73,"S1-14
Health and safety metrics",SUS,81
"E5-2
Actions and resources related to resource use and circular economy",SUS,73,"S1-15
Work-life balance metrics",-,-
"E5-3
Targets related to resource use and circular economy",SUS,73,"S1-16
Compensation metrics (pay gap and total compensation)",SUS,"84,101"
"E5-4
Resource inflows",-,-,"S1-17
Incidents, complaints, and severe human rights impacts",SUS,91
"E5-5
Resource outflows",-,-,,,
"E5-6
Anticipated financial effects from resource use and circular economy-related impacts,  
risks, and opportunities",-,-,,,
