0,1,2,3,4,5
FERROVIAL IN 2 MINUTES,GLOBAL STRATEGY AND 2024 PERFORMANCE,CORPORATE GOVERNANCE REPORT,,REMUNERATION REPORT,RISK REPORT
ESRS S1,S1-3,124,,,
ESRS S1,S1-4,125,,,
ESRS S1,S1-5,128,,,
ESRS S1,S1-6,128,,,
ESRS S1,S1-7,n/a,Phased-in,,
ESRS S1,S1-8,132,,,
ESRS S1,S1-9,133,,,
ESRS S1,S1-10,134,,,
ESRS S1,S1-11,n/a,Phased-in,,
ESRS S1,S1-12,134,,,
ESRS S1,S1-13,n/a,Phased-in,,
ESRS S1,S1-14,134,,Information related to value chain workers phased-in,
ESRS S1,S1-15,n/a,Phased-in,,
ESRS S1,S1-16,135,,,
ESRS S1,S1-17,137,,,
ESRS S2,SBM-2,138,,,
ESRS S2,SBM-3,138,,,
ESRS S2,S2-1,139,,,
ESRS S2,S2-2,142,,,
ESRS S2,S2-3,142,,,
ESRS S2,S2-4,143,,,
ESRS S2,S2-5,145,,,
ESRS S3,SBM-2,146,,,
ESRS S3,SBM-3,146,,,
ESRS S3,S3-1,148,,,
ESRS S3,S3-2,150,,,
ESRS S3,S3-3,151,,,
ESRS S3,S3-4,151,,,
ESRS S3,S3-5,153,,,
ESRS S4,,n/a,Not material,,
ESRS G1,GOV-1,154,,,
ESRS G1,IRO-1,154,,,
ESRS G1,G1-1,154,,,
ESRS G1,G1-2,160,,,
ESRS G1,G1-3,160,,,
ESRS G1,G1-4,162,,,
ESRS G1,G1-5,n/a,Not material,,
ESRS G1,G1-6,162,,,
ENTITY SPECIFIC: CYBERSECURITY,,163,,,
"ENTITY SPECIFIC: INNOVATION,",,,,,
DIGITALIZATION AND TECHNOLOGY,,,,,
APPLIED TO THE BUSINESS,,170,,,
Standard,Disclosure requirement,Reference,,Materiality,Page
ESRS 2,GOV-1,SFDR/BNCH,Material,,46
ESRS 2,GOV-1,BNCH,Material,,46
ESRS 2,GOV-4,SFDR,Material,,52
ESRS 2,SBM-1,SFDR/P3/BNCH,Material,,53
ESRS 2,SBM-1,SFDR/BNCH,Material,,53
ESRS E1,E1-1,LC,Material,,85
ESRS E1,E1-1,P3/BNCH,Material,,85
ESRS E1,E1-4,SFDR/P3/BNCH,Material,,89
ESRS E1,E1-5,SFDR,Material,,89
ESRS E1,E1-5,SFDR,Material,,89
ESRS E1,E1-5,SFDR,Material,,89
ESRS E1,E1-5,SFDR,Material,,89
ESRS E1,E1-5,SFDR,Material,,89
ESRS E1,E1-5,SFDR,Material,,89
ESRS E1,E1-6,SFDR/P3/BNCH,Material,,90
ESRS E1,E1-6,SFDR/P3/BNCH,Material,,90
ESRS E1,E1-6,SFDR/P3/BNCH,Material,,90
ESRS E1,E1-6,SFDR/P3/BNCH,Material,,90
ESRS E1,E1-7,LC,Material,,92
