0,1,2,3,4
"Review
Board of Directors","Statements
on a return of capital
Report",,,
,IRO-2 Disclosure requirements in ESRS covered by the undertaking’s Sustainability Report,,,
Business model and,,,,
operating environment,,,,
,List of the Disclosure Requirements complied with in  preparing the Sustainability Report,,,
Financial performance in 2024,,,,
Financial position and,,,Page,Additional
capital expenditure,Disclosure Requirement,Section,number,information
Shareholder return policy,ESRS 2 General disclosures,,,
and the Board’s proposal for,"General basis for preparation of the Sustainability Report
BP-1",ESRS 2; BP-1,44,
the distribution of profit,"Disclosures in relation to specific circumstances
BP-2",ESRS 2; BP-2,45,
Fleet,"The role of the administrative, management and supervisory bodies
GOV-1",ESRS 2; GOV-1,45,
Strategy implementation,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and 
GOV-2",ESRS 2; GOV-2,47,
,supervisory bodies,,,
Changes in company management,"Integration of sustainability-related performance in incentive schemes
GOV-3",ESRS 2; GOV-3,48,
Shares and shareholders,"Statement on due diligence
GOV-4",ESRS 2; GOV-4,48,
Risk management,"Risk management and internal controls over sustainability reporting
GOV-5",ESRS 2; GOV-5,48,
,"Strategy, business model and value chain
SBM-1",ESRS 2; SBM-1,49,
Significant risks and uncertainties,"Interests and views of stakeholders
SBM-2",ESRS 2; SBM-2,53,
Seasonal variation and sensitivities,"Material impacts, risks and opportunities and their interaction with strategy and business model",,"55, 83,",
in business operations,,"E1; SBM-3, E4; SBM-3,","104,  110,",
,SBM-3,"S1; SBM-3, S2; SBM-3,","126, 131,",
Outlook,,"S3; SBM-3, S4; SBM-3",,
,,,137,
Performance indicators classified as,"Description of the processes to identify and assess material impacts, risks and opportunities
IRO-1",ESRS 2; IRO-1,58,
alternative performance measures,"Disclosure requirements in ESRS covered by the undertaking’s Sustainability Report
IRO-2",ESRS 2; IRO-2,62,
Reconciliation of performance indicators,Environmental information,,,
classified as alternative performance,ESRS E1 Climate change,,,
measures,Integration of sustainability-related performance in incentive schemes,,48,
,"ESRS 2, GOV-3",ESRS 2; GOV-3,,
Other performance indicators,"Transition plan for climate change mitigation
E1-1",E1; E1-1,81,
,"Material impacts, risks and opportunities and their interaction with strategy and business model
ESRS 2, SBM-3",E1; SBM-3,"55, 83",
•  Sustainability Report,"Description of the processes to identify and assess material climate-related impacts, risks and opportunities
ESRS 2, IRO-1",ESRS 2; IRO-1,58,
General information,"Policies related to climate change mitigation and adaptation
E1-2",E1; E1-2,90,
Environmental information,"Actions and resources in relation to climate change policies
E1-3",E1; E1-3,91,
Social information,"Targets related to climate change mitigation and adaptation
E1-4",E1; E1-4,93,
Governance information,"Energy consumption and mix
E1-5",E1; E1-5,96,
,"Gross Scopes 1, 2, 3 and Total GHG emissions
E1-6",E1; E1-6,97,
,"GHG removals and GHG mitigation projects financed through carbon credits
E1-7",E1; E1-7,101,
