0,1,2
"Review
Board of Directors","Statements
on a return of capital
Report",
,Disclosure Requirement,"Page 
Additional 
Section"
Business model and,,"number
information"
operating environment,"Internal carbon pricing
E1-8","E1; E1-8
102"
Financial performance in 2024,"Anticipated financial effects from material physical and transition risks and potential climate-related opportunities
E1-9",Disclosure requirement omitted as per ESRS 1
,,General requirements Appendix C
Financial position and,ESRS E2 Pollution,
capital expenditure,"ESRS 2, IRO-1
Description of the processes to identify and assess material pollution-related impacts, risks and opportunities",Determined non-material
Shareholder return policy,"E2-1
Policies related to pollution",Determined non-material
and the Board’s proposal for,"E2-2
Actions and resources related to pollution",Determined non-material
the distribution of profit,"E2-3
Targets related to pollution",Determined non-material
Fleet,"E2-4
Pollution of air, water and soil",Determined non-material
Strategy implementation,"E2-5
Substances of concern and substances of very high concern",Determined non-material
,"E2-6
Anticipated financial effects from pollution-related impacts, risks and opportunities",Determined non-material
Changes in company management,ESRS E3 Water and marine resources,
Shares and shareholders,"Description of the processes to identify and assess material water and marine resources-related impacts, risks and",Determined non-material
,"ESRS 2, IRO-1
opportunities",
Risk management,,
,"E3-1
Policies related to water and marine resources",Determined non-material
Significant risks and uncertainties,"E3-2
Actions and resources related to water and marine resources",Determined non-material
Seasonal variation and sensitivities,"E3-3
Targets related to water and marine resources",Determined non-material
in business operations,"E3-4
Water consumption",Determined non-material
Outlook,"E3-5
Anticipated financial effects from water and marine resources-related impacts, risks and op-portunities",Determined non-material
Performance indicators classified as,ESRS E4 Biodiversity and ecosystems,
alternative performance measures,"E4-1
Transition plan and consideration of biodiversity and ecosystems in strategy and business model","E4; E4-1
103"
,"ESRS 2, SBM-3
Material impacts, risks and opportunities and their interaction with strategy and business model","E4; SBM-3
55, 104"
Reconciliation of performance indicators,,
classified as alternative performance,"Description of processes to identify and assess material biodiversity and ecosystem-related impacts, risks and 
ESRS 2, IRO-1","ESRS 2; IRO-1
58"
measures,opportunities,
,"E4-2
Policies related to biodiversity and ecosystems","E4; E4-2
104"
Other performance indicators,"E4-3
Actions and resources related to biodiversity and ecosystems","E4; E4-3
105"
,"E4-4
Targets related to biodiversity and ecosystems","E4; E4-4
105"
•  Sustainability Report,"E4-5
Impact metrics related to biodiversity and ecosystems change","E4; E4-5
105"
General information,Anticipated financial effects from biodiversity and ecosystem-related risks and opportunities,Disclosure requirement omitted as per ESRS 1
Environmental information,E4-6,General requirements Appendix C
Social information,ESRS E5 Resource use and circular economy,
Governance information,"Description of the processes to identify and assess material resource use and circular econ-omy-related impacts, risks 
ESRS 2, IRO-1","ESRS 2; IRO-1
58"
,and opportunities,
,"E5-1
Policies related to resource use and circular economy","E5; E5-1
106"
,"E5-2
Actions and resources related to resource use and circular economy","E5; E5-2
107"
,"E5-3
Targets related to resource use and circular economy","E5; E5-3
108"
,"E5-4
Resource inflows","E5; E5-4
108"
