0,1,2,3
Sartorius,,Combined Group Management Report    Sustainability Report,138
1. General information,,,
Index of ESRS Disclosure Requirements,,,
Section,Disclosure,"Brief description 
Page",
,Requirement,number,
1. Basis for preparation,,,
,BP-1,"General basis for preparation of sustainability statements 
111",
,BP-2,"Disclosures in relation to specific circumstances 
112",
2. Governance,,,
,GOV-1,"The role of the administrative, management and supervisory bodies 
116",
,GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s 
118",
,,"administrative, management and supervisory bodies",
,GOV-3,"Integration of sustainability-related performance in incentive schemes 
119",
,GOV-4,"Statement on due diligence 
120",
,GOV-5,"Risk management and internal controls over sustainability reporting 
120",
3. Strategy,,,
,SBM-1,"Strategy, business model and value chain 
121",
,SBM-2,"Interests and views of stakeholders 
122f.",
,SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and 
124f.",
,,business model,
"4. Impact, risk and opportunity management",,,
,IRO-1,"Description of the process to identify and assess material impacts, risks and 
130f.",
,,opportunities,
,IRO-2,"Disclosure requirements in ESRS covered by the undertaking’s sustainability 
137f.",
,,statement,
