0,1,2
"Disclosure 
requirement",Full name of the disclosure requirement,Page
ESRS S1 Own workforce,,
SBM-2,Interests and views of stakeholders,109
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",109
,business model,
S1-1,Policies related to own workforce,110
S1-2,Processes for engaging with own workers and workers’ representatives about impacts,111
S1-3,Processes to remediate negative impacts and channels for own workers to raise,112
,concerns,
,"Taking action on material impacts on own workforce, and approaches to mitigating",
S1-4,"material risks and pursuing material opportunities related to own workforce, and",112
,effectiveness of those actions,
S1-5,"Targets related to managing material negative impacts, advancing positive impacts,",113
,and managing material risks and opportunities,
S1-6,Characteristics of the undertaking’s employees,114
S1-7,Characteristics of non-employee workers in the undertaking’s own workforce,115
S1-8,Collective bargaining coverage and social dialogue,109
S1-9,Diversity metrics,115
S1-10,Adequate wages,116
S1-12,Persons with disabilities,116
S1-13,Training and skills development metrics,116
S1-14,Health and safety metrics,116
S1-15,Work-life balance metrics,117
S1-16,Compensation metrics (pay gap and total compensation),117
S1-17,"Incidents, complaints and severe human rights impacts",117
ESRS S4 Consumers and end-users,,
SBM-2,Interests and views of stakeholders,118
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and",119
,business mode,
S4-1,Policies related to consumers and end-users,120
S4-2,Processes for engaging with consumers and end-users about impacts,120
S4-3,Processes to remediate negative impacts and channels for consumers and end-users,121
,to raise concerns,
,"Taking action on material impacts on consumers and end-users, and approaches to",
S4-4,managing material risks and pursuing material opportunities related to consumers,122
,"and end-users, and effectiveness of those actions",
S4-5,"Targets related to managing material negative impacts, advancing positive impacts,",122
,and managing material risks and opportunities,
