0,1
Disclosure Requirement and related datapoint,Page
ESRS 2 GOV-1 Board's gender diversity paragraph 21 (d),115
ESRS 2 GOV-1 Percentage of board members who are independent paragraph 21 (e),72
ESRS 2 GOV-4 Statement on due diligence paragraph 30,90
ESRS 2 SBM-1 Involvement in activities related to fossil fuel activities paragraph 40 (d) i,N/A
ESRS 2 SBM-1 Involvement in activities related to chemical production paragraph 40 (d) ii,N/A
ESRS 2 SBM-1 Involvement in activities related to controversial weapons paragraph 40 (d) iii,N/A
ESRS 2 SBM-1 Involvement in activities related to cultivation and production of tobacco para-,N/A
graph 40 (d) iv,
ESRS E1-1 Transition plan to reach climate neutrality by 2050 paragraph 14,96
ESRS E1-1 Undertakings excluded from Paris-aligned Benchmarks paragraph 16 (g),97
ESRS E1-4 GHG emission reduction targets paragraph 34,102
ESRS E1-5 Energy consumption from fossil sources disaggregated by sources (only high climate,N/A
impact sectors) paragraph 38,
ESRS E1-5 Energy consumption and mix paragraph 37,103
ESRS E1-5 Energy intensity associated with activities in high climate impact sectors paragraphs,N/A
40 to 43,
"ESRS E1-6 Gross Scope 1, 2, 3 and Total GHG emissions paragraph 44",104
ESRS E1-6 Gross GHG emissions intensity paragraphs 53 to 55,108
ESRS E1-7 GHG removals and carbon credits paragraph 56,108
ESRS E1-9 Exposure of the benchmark portfolio to climate-related physical risks paragraph 66,Omitted based on
,ESRS 1 Appendix C
ESRS E1-9 Disaggregation of monetary amounts by acute and chronic physical risk paragraph,Omitted based on
66 (a) ESRS E1-9 Location of significant assets at material physical risk paragraph 66 (c),ESRS 1 Appendix C
ESRS E1-9 Breakdown of the carrying value of its real estate assets by energy-efficiency,Omitted based on
classes paragraph 67 (c),ESRS 1 Appendix C
ESRS E1-9 Degree of exposure of the portfolio to climate- related opportunities paragraph 69,Omitted based on
,ESRS 1 Appendix C
ESRS E2-4 Amount of each pollutant listed in Annex II of the E-PRTR Regulation (European,N/A
"Pollutant Release and Transfer Register) emitted to air, water and soil, paragraph 28",
ESRS E3-1 Water and marine resources paragraph 9,N/A
ESRS E3-1 Dedicated policy paragraph 13,N/A
