0,1
Disclosure Requirement and related datapoint,Page
ESRS E3-1 Sustainable oceans and seas paragraph 14,N/A
ESRS E3-4 Total water recycled and reused paragraph 28 (c),N/A
ESRS E3-4 Total water consumption in m3 per net revenue on own operations paragraph 29,N/A
ESRS 2- IRO 1 - E4 paragraph 16 (a) listing of activities that negatively affect biodiversity of,N/A
the relevant areas,
ESRS 2- IRO 1 - E4 paragraph 16 (b) identified significant negative impacts in terms of land,N/A
"degradation, desertification or soil sealing",
ESRS 2- IRO 1 - E4 paragraph 16 (c) impact of operations on endangered species,N/A
ESRS E5-5 Non-recycled waste paragraph 37 (d),N/A
ESRS E4-2 Sustainable oceans / seas practices or policies paragraph 24 (c),N/A
ESRS E4-2 Policies to address deforestation paragraph 24 (d),N/A
ESRS E5-5 Non-recycled waste paragraph 37 (d),N/A
ESRS E5-5 Hazardous waste and radioactive waste paragraph 39,N/A
ESRS 2- SBM3 - S1 Risk of incidents of forced labour paragraph 14 (f),110
ESRS 2- SBM3 - S1 Risk of incidents of child labour paragraph 14 (g),110
ESRS S1-1 Human rights policy commitments paragraph 20,110
ESRS S1-1 Due diligence policies on issues addressed by the fundamental International Labor,110
"Organisation Conventions 1 to 8, paragraph 21",
ESRS S1-1 processes and measures for preventing trafficking in human beings paragraph 22,110
ESRS S1-1 workplace accident prevention policy or management system paragraph 23,110
ESRS S1-3 grievance/complaints handling mechanisms paragraph 32 (c),112
ESRS S1-14 Number of fatalities and number and rate of workrelated accidents paragraph,116
88 (b) and (c),
"ESRS S1-14 Number of days lost to injuries, accidents, fatalities or illness paragraph 88 (e)",116
ESRS S1-16 Unadjusted gender pay gap paragraph 97 (a),117
ESRS S1-16 Excessive CEO pay ratio paragraph 97 (b),117
ESRS S1-17 Incidents of discrimination paragraph 103 (a),117
