0,1,2,3
Management Board Report on the Activity of Enea S.A. and the Enea Group in 2024,,,
,Disclosure requirement,Section,
,S4-2 – Processes for engaging with consumers and end-users about impacts,,10.3.4.
,"S4-3 – Processes to remediate negative impacts and channels for consumers and end-users to 
raise concerns",,10.3.4.
,"S4-4 – Taking action on material impacts on consumers and end-users, and approaches to 
managing material risks and pursuing material opportunities related to consumers and end-users,",,10.3.4.
,"and effectiveness of those actions 
S4-5 – Targets related to managing material negative impacts, advancing positive impacts, and",,
,managing material risks and opportunities,,10.3.4.
,"ESRS 2 GOV-1 – The role of the administrative, management and supervisory bodies",,10.4.1.
ESRS G1 Business,G1-1 – Business conduct policies and corporate culture,,10.4.1.
conduct,G1-2 – Management of relationships with suppliers,,10.4.1.
,G1-3 – Prevention and detection of corruption and bribery,,10.4.1.
,G1-4 – Incidents of corruption or bribery,,10.4.1.
,G1-5 – Political influence and lobbying activities,,10.4.1.
,G1-6 – Payment practices,,10.4.1.
