0,1,2,3,4,5,6,7
,,,,IFRS sustainability,,,
Global sustainability reporting standards,,"IFRS S1 & S2 
requirements",Topic,"disclosure standard 
requirement","ESRS 
requirements","Page 
numbers",Additional notes
,,"Financial 
position, financial","The effects of climate-related risks and 
opportunities on UPM's financial performance",IFRS S2.15,ESRS 2 SBM-3,141-143,
"The GRI index document shows where the disclo-
GRI - Global Reporting Initiative
sures of material topics and general disclosures are 
GRI was established in 1997 and is an international","create a global baseline of sustainability disclosures 
that meet the needs of capital markets.",performance and,Information about effects on UPM's financial,"IFRS S2.16 , IFRS S2.17",ESRS 2 SBM-3,141-143,Information about financial effects
"addressed in the Annual Report, on UPM’s webpage 
independent organisation that helps businesses,","In 2023, the ISSB published its first two sustainabil-",cash flows,performance for the current and future reporting,,,,omitted for fiscal year 2024 according
"or in the GRI content index itself. It also includes infor-
governments, and other organisations understand",ity disclosure standards: IFRS S1 (General Require-,,periods,,,,"to ESRS Transitional provisions for 
disclosure requirements including"
"mation on omissions and additional explanations.
and communicate their impacts on issues such as 
UPM’s GRI Content Index 2024 document is 
climate change, human rights, and corruption. The","ments for Disclosure of Sustainability-related Finan-
cial Information) and S2 (Climate-related Disclosures).",,,,,,phase-in options
"available on upm.com.
GRI provides a comprehensive framework for sus-","The ISSB and the European Commission services,",Climate resilience,"Results and implications of the climate resiliency 
assessment",IFRS S2.22 (a),"ESRS 2 SBM-3;  
ESRS E1-1","141-143 
149-150",
"tainability reporting, known as GRI standards.
ISSB - International Sustainability Standards 
UPM has reported in accordance with the Global","together with EFRAG, have worked together during the 
development of the European Sustainability Reporting",,Information about how and when the climate-,"IFRS S2.22 (b), IFRS",ESRS E1.1,149-150,
"Board 
Reporting Initiative (GRI) Standards for the period 1",Standards (ESRS) and the IFRS Sustainability Disclo-,,"related scenario analysis was carried out including 
description of inputs and assumptions utilised in","S1.23; IFRS S1.B42 (c), 
IFRS S2.23",,,
"ISSB was established in 2021 by the IFRS Founda-
January 2024 to 31 December 2024.
tion during the UN Climate Change Conference 
General and topic-specific disclosures for 2024","sure Standards (ISSB Standards) to achieve a high 
degree of alignment of the respective standards, with",,the assessment,,,,
"(COP26). The IFRS Foundation is a not-for-profit, 
in English with a reference to external assurance in",a specific focus on climate-related reporting. A joint,IFRS S2 - Risk management,,,,,
"public interest organisation established to develop 
the GRI content index have been externally assured","interoperability guidance was published in 2024, and","Management of 
climate-related risks","Processes and related policies the entity uses to 
identify, assess, prioritise and monitor climate-",IFRS S2.25(a),"ESRS 2 SBM-3; ESRS 
2 IRO-1 ESRS E1-1;","141-143 
143-145",
"high-quality, understandable, enforceable, and 
by an independent third party Ernest & Young. The 
globally accepted accounting and sustainability 
Independent Assurance Report is available in UPM’s","builds the basis for UPM's alignment index of IFRS S1 
and S2 with UPM's ESRS disclosures.",,related risks and key assumptions,,E1-2,149-150,
"disclosure standards. The ISSB’s primary goal is to 
GRI Content Index 2024 document.",See below for UPM's ISSB-ESRS Alignment Index.,,,,,152,
,,"Management of 
climate-related","Processes the entity uses to identify, assess, 
prioritise and monitor climate-related",IFRS S2.25 (b),"ESRS 2 GOV-1-2;4; 
ESRS 2 IRO-1; ESRS 2","131-135 
141-145",
,,opportunities,opportunities and key assumptions,,SMB-3,,
