0,1,2,3,4,5,6,7,8,9
ESRS Content index,,,,,,,,,
ESRS topic,"Dislosure  
number",Disclosure title,"Page and/or  
Note number(s)",Comment,ESRS topic,"Dislosure  
number",Disclosure title,"Page and/or  
Note number(s)",Comment
ESRS 2,BP-1,General basis for preparation of sustainability  statements,76,,E4,MDR-P,Minimum Disclosure Requirements – Policies,96,
ESRS 2,BP-2,Disclosures in relation to specific circumstances,76,,E4,E4-3,Actions and resources related to biodiversity and ecosystems,100,
ESRS 2,GOV-1,"The role of the administrative, management and  supervisory bodies","60–65, 68–71",,E4,MDR-A,Minimum Disclosure Requirements – Actions,100,
ESRS 2,GOV-2,"Information provided to and sustainability matters addressed by the 
entity’s administrative, management and supervisory bodies",60–61,,E4,E4-4,Targets related to biodiversity and ecosystems,98,
ESRS 2,GOV-3,Integration of sustainability-related performance in incentive schemes,80,,E4,MDR-T,Minimum Disclosure Requirements – Targets,98,
,,(General disclosures),,,E4,E4-5,Impact metrics related to biodiversity and ecosystems change,99,
ESRS 2,GOV-4,Statement on due diligence,"80, 107",,E4,MDR-M,Minimum Disclosure Requirements – Metrics,99,
ESRS 2,GOV-5,Risk management and internal controls over  sustainability reporting,80,,E4,E4-6,"Anticipated financial effects from biodiversity and  ecosystem-related  
risks and opportunities",n/a,"Phase in 
requirement"
ESRS 2,SBM-1,"Strategy, business model and value chain",81–82,,E5,IRO-1,Description of the processes to identify and assess material resource use,101,
ESRS 2,SBM-2,Interests and views of stakeholders,83,,,,"and circular economy-related impacts, risks and opportunities",,
ESRS 2,SBM-3,"Material impacts, risks and opportunities and their interaction  
with strategy and business model",86,,E5,E5-1,Policies related to resource use and circular economy,101,
ESRS 2,IRO-1,"Description of the processes to identify and assess material impacts,",84–85,,E5,MDR-P,Minimum Disclosure Requirements – Policies,101,
,,risks and opportunities,,,E5,E5-2,Actions and resources related to resource use and  circular economy,103,
ESRS 2,IRO-2,Disclosure requirements in ESRS covered by the  undertaking’s,"77–79, 84, 132",,E5,MDR-A,Minimum Disclosure Requirements – Actions,103,
,,sustainability statement,,,E5,E5-3,Targets related to resource use and circular economy,102,
E1,GOV-3,Integration of sustainability-related performance in incentive schemes,80,,E5,MDR-T,Minimum Disclosure Requirements – Targets,102,
E1,E1-1,Transition plan for climate change mitigation,91,,E5,E5-4,Resource inflows,102,
E1,SBM-3,"Material impacts, risks and opportunities and their",89,,E5,MDR-M,Minimum Disclosure Requirements – Metrics,102,
,,interaction with strategy and business model,,,E5,E5-6,"Anticipated financial effects from resource use and  circular  
economy-related impacts, risks and opportunities",n/a,"Phase in 
requirement"
E1,IRO-1,"Description of the processes to identify and assess material 
climate-related impacts, risks and opportunities","89, 128",,S1,SBM-2,Interests and views of stakeholders,107,
E1,E1-2,Policies related to climate change mitigation and  adaptation,90,,S1,SBM-3,"Material impacts, risks and opportunities and their  interaction 
with  strategy and business model",108,
E1,MDR-P,Minimum Disclosure Requirements – Policies,90,,S1,S1-1,Policies related to own workforce,108,
E1,E1-3,Actions and resources in relation to climate change  policies,95,,S1,MDR-P,Minimum Disclosure Requirements – Policies,108,
E1,MDR-A,Minimum Disclosure Requirements – Actions,95,,S1,S1-2,Processes for engaging with own workers and,108–109,
E1,E1-4,Targets related to climate change mitigation and  adaptation,94,,,,workers’ representatives about impacts,,
E1,MDR-T,Minimum Disclosure Requirements – Targets,"94, 126",,S1,S1-3,Processes to remediate negative impacts and channels for own workers,109,
E1,E1-5,Energy consumption and mix,147,,,,to raise concerns,,
E1,MDR-M,Minimum Disclosure Requirements – Metrics,126,,S1,S1-4,"Taking action on material impacts on own workforce, and approaches",108–111,
E1,E1-6,"Gross Scopes 1.,2.,3 and Total GHG emissions","146, 147",,,,"to mitigating material risks and  pursuing material opportunities related  
to own  workforce, and effectiveness of those actions",,
E1,E1-7,"GHG removals and GHG mitigation projects financed through  
carbon credits",146,,S1,MDR-A,Minimum Disclosure Requirements - Actions,111,
E1,E1-8,Internal carbon pricing,126,,S1,S1-5,"Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",109–110,
E1,E1-9,"Anticipated financial effects from material physical and transition risks  
and potential climate-related  opportunities",n/a,"Phase in and  
not included",S1,MDR-T,Minimum Disclosure Requirements – Targets,109–110,
E4,E4-1,"Transition plan and consideration of biodiversity and ecosystems 
in  strategy and business model",97,,S1,S1-6,Characteristics of the undertaking’s employees,"108–109, 131",
E4,SBM-3,"Material impacts, risks and opportunities and their  interaction",96,,S1,S1-7,"Characteristics of non-employee workers in the  undertaking’s own 
workforce",n/a,"Phase in and  
not included"
,,with  strategy and business model,,,S1,S1-14,Health and safety metrics,109–110,
E4,IRO-1,"Description of processes to identify and assess material biodiversity  
and ecosystem-related impacts, risks and opportunities",128,,S1,MDR-M,Minimum Disclosure Requirements – Metrics,"108–109, 131",
E4,E4-2,Policies related to biodiversity and ecosystems,96,,S2,SBM-2,Interests and views of stakeholders,113,
