0,1
ESRS Disclosure Requirements Index,
Disclosure requirement,Page number
E5 Resource use and circular economy (environmental concerns in accordance with,
NaDiVeG),274
ESRS 2 IRO-1 Description of the processes to identify and assess material resource use and,
"circular economy-related impacts, risks and opportunities",180
E5-1 Policies related to resource use and circular economy,275
E5-2 Actions and resources related to resource use and circular economy,276
E5-3 Targets related to resource use and circular economy,277
E5-4 Resource inflows,278
E5-5 Resource outflows,279
S1 Own workforce (employee-related matters in accordance with NaDiVeG),282
ESRS 2 SBM-2 Interests and views of stakeholders,170
"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy",
and business model,282
S1-1 Policies related to own workforce,283
S1-2 Processes for engaging with own workers and workers’ representatives about impacts,286
S1-3 Processes to remediate negative impacts and channels for own workers to raise,
concerns,288
"S1-4 Taking action on material impacts on own workforce, and approaches to mitigating",
"material risks and pursuing material opportunities related to own workforce, and",
effectiveness of those actions,289
"S1-5 Targets related to managing material negative impacts, advancing positive impacts, and",
managing material risks and opportunities,294
S1-6 Characteristics of the undertaking’s employees,296
S1-7 Characteristics of non-employee workers in the undertaking’s own workforce,297
S1-8 Collective bargaining coverage and social dialogue,298
S1-9 Diversity metrics,298
S1-10 Adequate wages,298
S1-11 Social protection,298
S1-12 Persons with disabilities,299
S1-13 Training and skills development metrics,299
S1-14 Health and safety metrics,299
S1-15 Work-life balance metrics,301
S1-16 Compensation metrics (pay gap and total remuneration),301
"S1-17 Incidents, complaints and severe human rights impacts",301
S2 Workers in the value chain (social matters in accordance with NaDiVeG),301
ESRS 2 SBM-2 Interests and views of stakeholders,170
"ESRS 2 SBM-3 Material impacts, risks and opportunities and their interaction with strategy",
and business model,302
S2-1 Policies related to value chain workers,302
S2-2 Processes for engaging with value chain workers about impacts,304
S2-3 Processes to remediate negative impacts and channels for value chain workers to raise,
concerns,304
