0,1,2
,List of disclosure requirements,Page
,ESRS S1 Own workforce,
ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction",145-149
,with strategy and business model,
S1-1,Policies related to own workforce,149-153
S1-2,Processes for engaging with own workforce and workers’,154-155
,representatives about impacts,
S1-3,Processes to remediate negative impacts and channels for own,155-156
,workforce to raise concerns,
,"Taking action on material impacts on own workforce, and",
S1-4,approaches to managing material risks and pursuing material,156-162
,"opportunities related to own workforce, and effectiveness of",
,those actions,
,"Targets related to managing material negative impacts,",
S1-5,"advancing positive impacts, and managing material risks and",162-163
,opportunities,
S1-6,Characteristics of the undertaking’s employees,163-164
S1-7,Characteristics of non-employees in the undertaking’s own,165
,workforce,
S1-8,Collective bargaining coverage and social dialogue,165
S1-9,Diversity metrics,165-166
S1-10,Adequate wages,166
S1-13,Training and skills development metrics,166-167
S1-14,Health and safety metrics,167-168
S1-16,Remuneration metrics (pay gap and total remuneration),168-169
S1-17,"Incidents, complaints and severe human rights impacts",169
,ESRS S4 Consumers and end-users,
ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction",170-171
,with strategy and business model,
S4-1,Policies related to consumers and end-users,171-176
S4-2,Processes for engaging with consumers and end-users about,176-177
,impacts,
S4-3,Processes to remediate negative impacts and channels for,178-179
,consumers and end-users to raise concerns,
S4-4,Taking action on material impacts on consumers and end-,179-189
,"users, and approaches to managing material risks and pursuing",
