0,1
"ESRS 2 GOV-1 Board's gender diversity 
x 
 
x 
 
paragraph 21 (d)",72
"ESRS 2 GOV-1 Percentage of board 
members who are independent 
 
 
x 
 
paragraph 21 (e)",72
"ESRS 2 GOV-4 Statement on due 
x 
 
 
 
diligence paragraph 30",72-73
"ESRS 2 SBM-1 Involvement in activities 
related to fossil fuel activities paragraph 
x 
x 
x 
 
40 (d) i",Not material
"ESRS 2 SBM-1 Involvement in activities 
related to chemical production paragraph 
x 
 
x 
 
40 (d) ii",Not material
"ESRS 2 SBM-1 Involvement in activities 
related to controversial weapons 
x 
 
x 
 
paragraph 40 (d) iii",Not material
"ESRS 2 SBM-1 Involvement in activities 
related to cultivation and production of 
 
 
x 
 
tobacco paragraph 40 (d) iv",Not material
"ESRS E1-1 Transition plan to reach 
 
 
 
x 
climate neutrality by 2050 paragraph 14",105
"ESRS E1-1 Undertakings excluded from 
Paris-aligned Benchmarks paragraph 16 
 
x 
x 
 
(g)",105
"ESRS E1-4 GHG emission reduction 
x 
x 
x 
 
targets paragraph 34",123-126
"ESRS E1-5 Energy consumption from 
fossil sources disaggregated by sources 
x 
 
 
 
(only high climate impact sectors) 
paragraph 38",Not material
