0,1,2
Phased-in concessions availed of,,
,Phased-in concessions availed of in accordance with ESRS 1 Appendix C,
ESRS,Disclosure Requirement,ESRS Options
"ESRS 2,
SBM-1","Breakdown of total revenue, as included in 
its financial statements, by significant","As the European Commission has not adopted a delegated act specifying the 
list of ESRS sectors, undertakings are not required to disclose the information"
,ESRS sectors.,referred to in ESRS 2 paragraph 40 (b) and 40 (c)
"ESRS 2,
SBM-3","Description of the processes to identify 
and assess material impacts, risks and","The undertaking may omit the information prescribed by ESRS 2 SBM-3 
paragraph 48(e) (anticipated financial effects) for the first year of preparation"
,opportunities,of its Sustainability Statement.
"ESRS E1,
E1-9","Anticipated financial effects from material 
physical and transition risks and potential","The undertaking may omit the information prescribed by ESRS E1-9 for the first 
year of preparation of its Sustainability Statement."
,climate-related opportunities,
"ESRS S1,
S1-7","Characteristics of non-employee workers 
in the undertaking’s own workforce","The undertaking may omit reporting for all datapoints in this Disclosure 
Requirement for the first year of preparation of its Sustainability Statement."
"ESRS S1,
S1-11",Social protection,"The undertaking may omit the information prescribed by ESRS S1-11 for the 
first year of preparation of its Sustainability Statement."
"ESRS S1,
S1-12",Percentage of employees with,"The undertaking may omit the information prescribed by ESRS S1-12 for the 
first year of preparation of its Sustainability Statement."
,disabilities,
"ESRS S1,
S1-13",Training and skills development,"The undertaking may omit the information prescribed by ESRS S1-13 for the 
first year of preparation of its Sustainability Statement."
"ESRS S1,
S1-14",Health and safety,"The undertaking may omit reporting on non-employees for the first year of 
preparation of its Sustainability Statement."
"ESRS S1,
S1-14",Health and safety,"The undertaking may omit the data points on cases of work-related ill-health 
and on number of days lost to injuries, accidents, fatalities and work-related ill"
,,health for the first year of preparation of its Sustainability Statement.
"ESRS S1,",Work-life balance,"The undertaking may omit the information prescribed by ESRS S1-15 for the 
first year of preparation of its Sustainability Statement."
S1-15,,
