0,1,2,3,4,5
Contents,"ING at a glance
Strategy, business model 
Our financial performance
and value creation","Our leadership and 
corporate governance","Sustainability Statement
Capital management",Risk management,"Consolidated 
Parent company 
Other information 
financial statements
financial statements
and appendices"
Reference index table,,,,,
Requirement,Description,Art.,Reference,Pages Remarks,
MDR-T,Tracking of effectiveness of policies and actions through targets,,E1 Our Terra approach,109,
,,,"E1 Climate change - policies, actions and performance",127,
,,,"E4 Biodiversity and ecosystems - policies, actions and performance",131,
,,,"S1 Own workforce - policies, actions and performance",137,
,,,"S4 Consumers and end-users - policies, actions and performance",145,
,,,"G1 Business conduct - policies, actions and performance",149,
Environment - E1 Climate,,,,,
GOV-3,Integration of sustainability-related performance in incentive schemes,,table: 1. 2024 variable remuneration outcomes,69,Incorporated by reference
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business 
model",,General information - Business model and strategy,96,
IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities",,"Process to identify impacts, risks and opportunities",98,
E1-1,Transition plan for climate change mitigation,,Our transition plan,107,
E1-2,Policies related to climate change mitigation and adaptation,,"E1 Climate change - policies, actions and performance",127,
E1-3,Actions and resources in relation to climate change policies,,"E1 Climate change - policies, actions and performance",127,
E1-4,Targets related to climate change mitigation and adaptation,,Our transition plan,107,
E1-5,Energy consumption and mix,,,,"Based on our DMA outcome, where energy consumption and mix is 
not material, this requirement is not applicable"
E1-6,"Gross scopes 1, 2, 3 and total GHG emissions",,Financed Emissions per asset class,124,"Based on our DMA outcome, our own operations have not been 
deemed material."
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,,,,"ING does not have carbon credits and does not apply carbon 
offsetting"
E1-8,Internal carbon pricing,,,,ING does not apply internal carbon pricing
E1-9,"Anticipated financial effects from material physical and transition risks and potential 
climate-related opportunities","66.a
67.c",Climate risk and the resiliency of our lending book,368,
,,"64-65
66.b-d",,,"Disclosure partly omitted due to application of ESRS 1 transitional 
provision / phase-in"
,,"67.a,b,d,e
68-70",,,
Environment - E4 Biodiversity and ecosystems,,,,,
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business 
model",,General information - Business model and strategy,96,
IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities",,"Process to identify impacts, risks and opportunities",98,
E4-1,"Transition plan and consideration of biodiversity and ecosystem in strategy and business 
model 3",,"E4 Biodiversity and ecosystems - identified impacts, risks and 
opportunities",130,"ING currently does not have a transition plan. ING's strategy is 
explained in the referred section."
,,,Our nature strategy,130,
E4-2,Policies related to biodiversity and ecosystems,,"E4 Biodiversity and ecosystems - policies, actions and performance",131,
E4-3,Actions and resources related to biodiversity and ecosystems,,"E4 Biodiversity and ecosystems - policies, actions and performance",131,
E4-4,Targets related to biodiversity and ecosystems,,,,ING currently does not have targets on biodiversity and ecosystems
