0,1,2
Table of,"1. 
2. 
3. 
4. 
5. 
6. 
7. 
Acerinox 
About 
2024: a 
Economic 
Corporate 
Risk 
Consolidated",8.
contents,"transformational year
performance
governance
management
NFIS
in figures
the Group",Appendices
ESRS,Description,Page
S1-17,"Incidents, complaints and severe human rights impacts",117
ESRS S2,Workers in the value chain,
S2-1,Policies related to value chain workers,118
SBM-2,Interests and views of stakeholders,117
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",117
S2-2,Processes for engaging with value chain workers about impacts,119
S2-3,Processes to remediate negative impacts and channels for value chain workers to raise concerns,120
S2-4,"Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing 
material opportunities related to value chain workers, and effectiveness of those action",120
S2-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks 
and opportunities",121
ESRS S3,Affected communities,
IRO-1,"Description of the processes to identify and assess material climate-related impacts, risks and opportunities","62, 64"
ESRS S4,Consumers and end-users,
S4-1,Policies related to consumers and end-users,122
SBM-2,Interests and views of stakeholders,122
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",122
S4-2,Processes for engaging with consumers and end-users about impacts,122
S4-3,to remediate negative impacts and channels for consumers and end-users to raise concerns,122
S4-4,"Taking action on material impacts on consumers and end-users, and approaches to managing material risks and 
pursuing material opportunities related to consumers and end- users, and effectiveness of those actions",123
S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks 
and opportunities",124
ESRS G1,Business conduct,
GOV-1,"The role of the administrative, management and supervisory bodies",125
IRO-1,"Description of the processes to identify and assess material business conduct-related impacts, risks and 
opportunities","62, 66"
G1-1,Corporate culture and business conduct policies and corporate culture,125
G1-3,Prevention and detection of corruption and bribery,"125, 128"
G1-4,Confirmed incidents of corruption or bribery,130
