0,1,2,3,4
"Content index of ESRS disclosure requirements: Environmental standard – Resource use and circular economy
ESRS 2 IRO 2-56",,,,
Disclosure requirements,,"Section /  
Report",Page,Additional information
ESRS E5,Circular economy and resource use,,,
"ESRS 2, 
IRO-1","Description of the processes to identify and assess material resource use and circular economy-related impacts, 
risks and opportunities",SUS,"94, 142",
E5-1,Policies related to resource use and circular economy,SUS,143,
E5-2,Actions and resources related to resource use and circular economy,SUS,144,
E5-3,Targets related to resource use and circular economy,SUS,143,
E5-4,Resource inflows,SUS,144,
E5-5,Resource outflows,SUS,145,
E5-6,Anticipated financial effects from material resource use and circular economy-related risks and opportunities,—,—,
SUS – Sustainability Statement; AR – Annual Report,,,,
