0,1,2,3,4
"Content index of ESRS disclosure requirements: Social standard - Workers in the value chain
ESRS 2 IRO 1-56",,,,
Disclosure requirements,,"Section /  
Report",Page,Additional information
ESRS S2,Workers in the value chain,,,
SBM-2,Interests and views of stakeholders,SUS,81,
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",SUS,"83, 162",
S2-1,Policies related to value chain workers,SUS,163,
S2-2,Processes for engaging with value chain workers about impacts,SUS,164,
S2-3,Processes to remediate negative impacts and channels for value chain workers to raise concerns,SUS,164,
S2-4,"Taking action on material impacts on value chain workers, and approaches to managing material risks  
and pursuing material opportunities related to value chain workers, and effectiveness of those actions",SUS,165,
S2-5,"Targets related to managing material negative impacts, advancing positive impacts,  
and managing material risks and opportunities",SUS,162,
SUS – Sustainability Statement; AR – Annual Report,,,,
