0,1,2,3,4
GRI Standards,Disclosure Requirement,Sustainability report,Sections,
GRI 408:,3-3 Management of material topics,"ESRS S1 S1-1; S1-2; S1-4; S1-5; ESRS S2 S2-1; S2-2; S2-4; 
S2-5","5.8.2.1.4;
5.8.2.4.3",
Child labour 2016,408-1 Operations and suppliers at significant risk for,ESRS S1 S1-1 ESRS S2 S2-1,5.8.2.1; 5.9.2.1,
,incidents of child labour,,,
GRI 409:,3-3 Management of material topics,"ESRS S1 S1-1; S1-2; S1-4; S1-5; ESRS S2 S2-1; S2-2; S2-4; 
S2-5","5.8.2.1.4;
5.8.2.4.3",
"Forced or compulsory 
labour 2016",409-1 Operations and suppliers at significant risk of,ESRS S1 S1-1 ESRS S2 ; S2-1,5.8.2.1; 5.9.2.1,
,incidents of forced or compulsory labour,,,
GRI 410:,3-3 Management of material topics,ESRS S3 S3-1; S3-2; S3-4; S3-5,5.10.2.1,
Security practices 2016,"410-1 Security personnel trained in human rights 
policies or procedures","“Security-related impacts” is a sustainability issue for 
S3 covered by ESRS 1. Therefore, this GRI disclosure is",5.10.2.1,
,,"covered by MDR-P, MDR-A, MDR-T, and/or as an 
entity-specific metric to be disclosed according to",,
,,ESRS 1 and in accordance with MDR-M.,,
GRI 411:,3-3 Management of material topics,ESRS S3 S3-1; S3-2; S3-4; S3-5,"5.8.2.1.4;
5.10.2.1",
"Rights of indigenous 
peoples 2016",411-1 Incidents of violations involving rights of,ESRS S3 S3-1; S3-4,5.10.2.1; 5.10.2.4,
,indigenous peoples,,,
GRI 413:,3-3 Management of material topics,ESRS S3 S3-1; S3-2; S3-4; S3-5,5.10.2.1,5
"Local communities 
2016","413-1 Operations with local community engagement, 
impact assessments, and development programs",ESRS S3 S3-2; S3-4,"5.10.2.2;
5.10.2.4",
,"413-2 Operations with significant actual and potential 
negative impacts on local communities",ESRS 2 SBM-3; ESRS S3,5.10.2.3,
GRI 414:,3-3 Management of material topics,ESRS G1 G1-2,5.12.2.5,
"Supplier social 
assessment 2016","414-1 New suppliers that were screened using social 
criteria",ESRS G1 G1-2,5.12.2.5,
,"414-2 Negative social impacts in the supply chain and 
action taken",ESRS 2 SBM-3,5.1.3.2,
GRI 415:,3-3 Management of material topics,ESRS G1 G1-5,5.12.3.3,
Public policy 2016,415-1 Political contributions,ESRS G1 G1-5,5.12.3.3,
GRI 416:,3-3 Management of material topics,ESRS S4 S4-1; S4-2; S4-4; S4-5,5.11.2,
"Customer health and 
safety 2016","416-1 Assessment of the health and safety impacts of 
product and service categories","“Personal safety of consumers and end-users” is a 
sustainability issue for S4 covered by ESRS 1.",5.11.1.2,
,,"Therefore, this GRI disclosure is covered by MDR-P, 
MDR-A, MDR-T, and/or as an entity-specific metric to",,
,,"be disclosed according to ESRS 1 and in accordance 
with MDR-M.",,
,"416-2 Incidents of non-compliance concerning the 
health  and safety impacts of products and services.",ESRS S4 S4-4,5.11.2.4,
GRI 417:,3-3 Management of material topics,ESRS S4 S4-1; S4-2; S4-4; S4-5,"Not
concerned",
"Marketing and 
Labeling 2016","417-1 Requirements for product and service 
information and labeling","“Information-related impacts for consumers and end-
users” is a sustainability issue for S4 covered by ESRS",,
,,"1. Therefore, this GRI disclosure is covered by MDR-P, 
MDR-A, MDR-T, and/or as an entity-specific metric to",,
,,"be disclosed according to ESRS 1 and in accordance 
with MDR-M.",,
,"417-2 Incidents of non-compliance concerning 
product and service information and labeling",ESRS S4 S4-4,,
,"Incidents of non-compliance concerning marketing 
communications",,,
GRI 418:,3-3 Management of material topics,ESRS S4 S4-1; S4-2; S4-4; S4-5,5.11.2,
Customer privacy 2016,"418-1 Substantiated complaints concerning breaches 
of customer privacy and losses of customer data.",ESRS S4 S4-3; S4-4,5.11.2.3,
,,,5.11.2.4,Appendices
