0,1,2
B.78,,
ESRS E1 - Climate change,,
,,Page
"ESRS 2, GOV-3",Integration of sustainability-related performance in incentive schemes,75
E1-1,Transitional Plan for climate change mitigation,85
"ESRS 2, SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",80
E1-2,Policies related to climate change mitigation and adaptation,82 - 83
E1-3,Actions and resources in relation to climate change policies,85 - 90
E1-4,Targets related to climate change mitigation and adaptation,84 - 85
E1-5,Energy consumption and mix,90 - 92
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",92 - 95
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,96
E1-8,Internal carbon pricing,96
E1-9,Anticipated financial effects from material physical and transition risks and potential climate-related opportunities,Phase-in
B.79,,
ESRS E2 - Pollution,,
,,Page
E2-1,Policies related to pollution,97
E2-2,Actions and resources related to environmental pollution,97
E2-3,Targets related to pollution,97
E2-4,"Pollution of air, water and soil",Not material
E2-5,Substances of concern and substances of very high concern,Not material
E2-6,Anticipated financial effects from material pollution-related risks and opportunities,Phase-in
