0,1,2
in preparing our sustainability statement.,,
"Disclosure 
requirement",Title,Reference
ESRS 2 General disclosures,,158
ESRS 2-BP-1,General basis for preparation of the Sustainability Statement,158
ESRS 2-BP-2,Disclosures in relation to specific circumstances,158
ESRS 2-GOV-1,"The role of the administrative, management and supervisory bodies",161
ESRS 2-GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, 
management and supervisory bodies",163
ESRS 2-GOV-3,"Integration of sustainability-related performance in incentive schemes (ESRS 2 GOV-3 paragraph 
29: 2021 incentive scheme is incorporated by reference in 1.3 Remuneration report)",164
ESRS 2-GOV-4,Statement on due diligence,166
ESRS 2-GOV-5,Risk management and internal controls over sustainability reporting,168
ESRS 2-SBM-1,"Strategy, business model and value chain",169
ESRS 2-SBM-2,Interests and views of stakeholders,172
ESRS 2-SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",182
ESRS 2-IRO-1,"Description of the process to identify and assess material impacts, risks and opportunities",175
ESRS 2-IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,285
ESRS E1 Climate change,,201
"ESRS E1-ESRS 2 
GOV-3",Integration of sustainability-related performance in incentive schemes,201
ESRS E1-1,Transition plan for climate change mitigation,211
"ESRS E1-ESRS 2 
SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",201
"ESRS E1-ESRS 2 
IRO-1","Description of the processes to identify and assess material climate-related impacts, risks and 
opportunities",202
ESRS E1-2,Policies related to climate change mitigation and adaptation,204
ESRS E1-3,Actions and resources in relation to climate change policies,205
ESRS E1-4,Targets related to climate change mitigation and adaptation,208
ESRS E1-5,Energy consumption and mix,211
