0,1,2,3
1 Company,"2 Combined management
3 Consolidated financial
4 Other information",,287.0
"Disclosure 
requirement",Title,Reference,
ESRS S1-17,"Incidents, complaints and severe human rights impacts",243,
ESRS S2 Workers in the value chain,,250,
"ESRS S2-ESRS 2 
SBM-2",Interests and views of stakeholders,250,
"ESRS S2-ESRS 2 
SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",250,
ESRS S2-1,Policies related to value chain workers,251,
ESRS S2-2,Processes for engaging with value chain workers about impacts,252,
ESRS S2-3,Processes to remediate negative impacts and channels for value chain workers to raise concerns,252,
ESRS S2-4,"Taking action on material impacts on value chain workers, and approaches to managing material 
risks and pursuing material opportunities related to value chain workers, and effectiveness of those",254,
,action,,
ESRS S2-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",256,
ESRS S4 Consumers and end-users – Social inclusion,,257,
"ESRS S4-ESRS 2 
SBM-2",Interests and views of stakeholders,257,
"ESRS S4-ESRS 2 
SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",257,
ESRS S4-1,Policies related to consumers and end-users,258,
ESRS S4-2,Processes for engaging with consumers and end-users about impacts,258,
ESRS S4-3,"Processes to remediate negative impacts and channels for consumers and end-users to raise 
concerns",258,
ESRS S4-4,"Taking action on material impacts on consumers and end-users, and approaches to managing 
material risks and pursuing material opportunities related to consumers and end-users, and",259,
,effectiveness of those actions,,
ESRS S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",261,
ESRS S4 Consumers and end-users – Information-related impacts,,262,
"ESRS S4-ESRS 2 
SBM-2",Interests and views of stakeholders,262,
"ESRS S4-ESRS 2 
SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",262,
ESRS S4-1,Policies related to consumers and end-users,262,
ESRS S4-2,Processes for engaging with consumers and end-users about impacts,262,
ESRS S4-3,"Processes to remediate negative impacts and channels for consumers and end-users to raise 
concerns",263,
ESRS S4-4,"Taking action on material impacts on consumers and end-users, and approaches to managing 
material risks and pursuing material opportunities related to consumers and end-users, and",263,
,effectiveness of those actions,,
ESRS S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",263,
ESRS S4 Consumers and end-users – Personal safety,,264,
"ESRS S4-ESRS 2 
SBM-2",Interests and views of stakeholders,264,
"ESRS S4-ESRS 2 
SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",264,
ESRS S4-1,Policies related to consumers and end-users,264,
ESRS S4-2,Processes for engaging with consumers and end-users about impacts,265,
ESRS S4-3,"Processes to remediate negative impacts and channels for consumers and end-users to raise 
concerns",266,
ESRS S4-4,"Taking action on material impacts on consumers and end-users, and approaches to managing 
material risks and pursuing material opportunities related to consumers and end-users, and",267,
,effectiveness of those actions,,
ESRS S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",267,
Zalando SE,ANNUAL REPORT 2024,,
