0,1,2,3
4. Non-financial Statement,,,
4.1 General Information,,,
Disclosure Requirement IRO-2 – Disclosure,,,
Requirements in ESRS covered by the under-,,,
taking’s non-financial statement,,,
The following index shows the disclosure requirements that,,,
were followed in the creation of the non-financial state-,,,
ment based on the results of the materiality assessment,,,
"(see ESRS 1 Chapter 3), including the page numbers that",,,
contain the corresponding disclosures in the non-financial,,,
statement.,,,
Index of disclosure requirements covered in the non-financial statement,,,
Disclosure Requirement,,Page,
4.1 General Information,,,50.0
IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s non-financial statement,,50.0
BP-1,General basis for preparation of the non-financial statement,,52.0
BP-2,Disclosures in relation to specific circumstances,,53.0
GOV-1,"The role of the administrative, management and supervisory bodies",,53.0
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative,  
management and supervisory bodies",,59.0
GOV-3,Integration of sustainability-related performance in incentive schemes,,60.0
GOV-4,Statement on due diligence,,62.0
GOV-5,Risk management and internal controls over sustainability reporting,,64.0
SBM-1,"Strategy, business model and value chain",,65.0
SBM-2,Interests and views of stakeholders,,68.0
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,72.0
IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",,78.0
IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s non-financial statement (Appendix B),,84.0
4.2 Environmental information,,,88.0
"E1 Disclosure  
Requirement related",,,
to ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,104.0
E1-1,Transition plan for climate change mitigation,,105.0
E1-2,Policies related to climate change mitigation and adaptation,,106.0
