0,1
Disclosure requirement,Page
ESRS E4-2 Policies to address deforestation paragraph 24 (d),Not material
ESRS E5-5 Non-recycled waste paragraph 37 (d),Not material
ESRS E5-5 Hazardous waste and radioactive waste paragraph 39,Not material
ESRS 2- SBM3 - S1 Risk of incidents of forced labour paragraph 14 (f),61
ESRS 2- SBM3 - S1 Risk of incidents of child labour paragraph 14 (g),61
ESRS S1-1 Human rights policy commitments paragraph 20,61
"ESRS S1-1 Due diligence policies on issues addressed by the fundamental International Labor Organisation Conventions 1 to 8, paragraph 21",61
ESRS S1-1 Processes and measures for preventing trafficking in human beings paragraph 22,61
ESRS S1-1 Workplace accident prevention policy or management system paragraph 23,60
ESRS S1-3 Grievance/complaints handling mechanisms paragraph 32 (c),72
ESRS S1-14 Number of fatalities and number and rate of work-related accidents paragraph 88 (b) and (c),65
"ESRS S1-14 Number of days lost to injuries, accidents, fatalities or illness paragraph 88 (e)","Phased-in, not 
reported"
ESRS S1-16 Unadjusted gender pay gap paragraph 97 (a),64
ESRS S1-16 Excessive CEO pay ratio paragraph 97 (b),64
ESRS S1-17 Incidents of discrimination paragraph 103 (a),65
ESRS S1-17 Non-respect of UNGPs on Business and Human Rights and OECD paragraph 104 (a),65
ESRS 2- SBM3 – S2 Significant risk of child labour or forced labour in the value chain paragraph 11 (b),66
ESRS S2-1 Human rights policy commitments paragraph 17,66
ESRS S2-1 Policies related to value chain workers paragraph 18,66
ESRS S2-1 Non-respect of UNGPs on Business and Human Rights principles and OECD guidelines paragraph 19,66
"ESRS S2-1 Due diligence policies on issues addressed by the fundamental International Labor Organisation Conventions 1 to 8, paragraph 19",66
ESRS S2-4 Human rights issues and incidents connected to its upstream and downstream value chain paragraph 36,66
ESRS S3-1 Human rights policy commitments paragraph 16,Not material
"ESRS S3-1 Non-respect of UNGPs on Business and Human Rights, ILO principles or and OECD guidelines paragraph 1",Not material
ESRS S3-4 Human rights issues and incidents paragraph 36,Not material
ESRS S4-1 Policies related to consumers and end-users paragraph 16,67-68
ESRS S4-1 Non-respect of UNGPs on Business and Human Rights and OECD guidelines paragraph 17,67
ESRS S4-4 Human rights issues and incidents paragraph 35,67
ESRS G1-1 United Nations Convention against Corruption paragraph 10 (b),71-72
ESRS G1-1 Protection of whistleblowers paragraph 10 (d),72
ESRS G1-4 Fines for violation of anticorruption and anti-bribery laws paragraph 24 (a),Not material
ESRS G1-4 Standards of anti- corruption and anti-bribery paragraph 24 (b),72
