0,1,2,3,4
3.2.5.4. REFERENCE TABLE,,,Description,Reference in report
,,M: E1-6,"Gross scopes 1, 2, 3 and total GHG emissions / GHG Intensity 
based on net revenue","3.2.2.4.B. E1-6 – Gross Scopes 1, 2, 3 and total 
GHG emissions"
Table below to be updated once the CSRD statements,,M: E1-7,GHG removals and GHG mitigation projects financed through,3.2.2.4.C. E1-7 – Carbon credits
are integrated into the standard annual report.,,,carbon credits,
,,M: E1-8,Internal carbon pricing,
Description,Reference in report,M: E1-9,"Anticipated financial effects from material physical and 
transition risks and potential climate-related opportunities",3.2.2.3.B. Our business resilience analysis
"BP-1
General basis for preparation of the sustainability statements",3.2.5.1 Basis for preparation,ESRS 2 SBM-2,Interests and views of stakeholders,3.2.1.2.C. Interests and views of stakeholders
"BP-2
Disclosures in relation to specific circumstances",3.2.5.6. Clarification of ESG reporting and data,ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction",3.2.1.2.D. Brunel’s material topics defined
"GOV-1
The role of the administrative, management and supervisory 
bodies","3.2.1.3. ESG Governance, Policies, Actions plans en 
metrics",,with strategy and business model,"3.2.1.3.A Our response to the material Impacts, 
Risks and Opportunities"
"GOV-2
Information provided to and sustainability matters addressed 
by the undertaking’s administrative, management and","3.2.1.3. ESG Governance, Policies, Action plans, 
Metrics and Targets",IRO: S1-1,Policies related to own workforce,"3.2.3.3.A. Introduction to social metrics, targets 
and performance"
supervisory bodies,,,,3.2.3.2.I. Social dialogue
"GOV-3
Integration of sustainability-related performance in incentive 
schemes",4. Supervisory Board report,IRO: S1-2,"Processes for engaging with own workers and workers’ 
representatives about impacts","3.2.3.3.A. Introduction to social metrics, targets 
and performance"
"GOV-4
Statement on due diligence",3.2.1.4. Statement on Sustainability Due Diligence,,,3.2.3.2.I Social dialogue
"GOV-5
Risk management and internal controls over sustainability",3.2.5.3.  ESG Risk Management,IRO: S1-3,"Processes to remediate negative impacts and channels for own 
workers to raise concerns","3.2.4.2.B. Code of conduct
3.2.4.2.D. Speak up channels and whistleblower"
reporting,,,,procedure
"SBM-1
Strategy, business model and value chain (value-creation 
process)","3.2.1.2. Materiality assessment and stakeholder 
dialogue",M: S1-5,"Targets related to managing material negative impacts,",3.2.3.1.B. Our workforce and material impacts
