0,1,2,3,4
ESRS,DR,Category,Description,"Page
number"
ESRS S2,,ESRS S2 Workers in the value chain,,
WORKERS IN THE,SBM-2 Strategy,,Interests and views of stakeholders,58
VALUE CHAIN,,,,
,SBM-3 Strategy,,"Material impacts, risks and opportunities and their interaction 
with strategy and business model",60
,S2-1,"Impact, risk and 
opportunity management",Policies related to value chain workers,144
,S2-2,"Impact, risk and 
opportunity management","Processes for engaging with value chain workers about 
impacts",146
,S2-3,"Impact, risk and 
opportunity management","Processes to remediate negative impacts and channels for 
value chain workers to raise concerns",147
,S2-4,"Impact, risk and 
opportunity management","Taking action on material impacts on value chain workers, and 
approaches to managing material risks and pursuing material",148
,,,"opportunities related to value chain workers, and effectiveness
of those actions",
,S2-5,Metrics and targets,"Targets related to managing material impacts, advancing 
positive impacts, as well as to risks and opportunities",149
ESRS S4,,ESRS S4 Consumers and end-users,,
CONSUMERS,SBM-2 Strategy,,Interests and views of stakeholders,58
AND END-USERS,,,,
,SBM-3 Strategy,,"Material impacts, risks and opportunities and their interaction 
with strategy and business model",60
,S4-1,"Impact, risk and 
opportunity management",Policies related to consumers and end-users,151
,S4-2,"Impact, risk and 
opportunity management","Processes for engaging with value chain workers about 
impacts",151
,S4-3,"Impact, risk and 
opportunity management","Processes to remediate negative impacts and channels 
for consumers and end-users to raise concerns",151
,S4-4,"Impact, risk and 
opportunity management","Taking action on material impacts on consumers and 
end‑users, and approaches to managing material risks",151
,,,"and pursuing material opportunities related to consumers 
and end‑users, and effectiveness of those actions",
,S4-5,Metrics and targets,"Targets related to managing material impacts, advancing 
positive impacts, as well as to risks and opportunities",151
ESRS G1,,ESRS G1 Business conduct,,
BUSINESS,GOV-1,Governance,"The role of the administrative, management and supervisory",45
CONDUCT,,,bodies,
,IRO-1,"Impact, risk and 
opportunity management","Description of the processes to identify and assess material 
impacts, risks and opportunities",66
,G1-1,"Impact, risk and 
opportunity management",Corporate culture and business conduct policies,161
,G1-2,"Impact, risk and 
opportunity management",Management of relationships with suppliers,166
,G1-3,"Impact, risk and 
opportunity management",Prevention and detection of corruption and bribery,168
,G1-4,Metrics and targets,Confirmed incident of corruption or bribery,170
,G1-5,Metrics and targets,Political engagement and lobbying activities,171
,G1-6,Metrics and targets,Payment practices (not material),
GLOSSARY,,,,
