0,1,2,3,4
"ESRS E1, E3, E5",,,,
Disclosure requirement,,Reference (chapter),"Mandatory (M) / 
Voluntary (V)",Page
,,,disclosure,
E1-1,"Transition plan for climate change 
mitigation",Climate change and energy,M,72
E1-2,"Policies related to climate change 
mitigation and adaptation",Climate change and energy,M,71
E1-3,"Actions and resources in relation to 
climate change and adaptation",Climate change and energy,M,72
E1-4,"Targets related to climate change 
mitigation and adaptation",Climate change and energy,M,72
E1-5,Energy consumption and mix,Climate change and energy,M,76
E1-6,"Gross Scopes 1, 2, 3 and Total GHG 
emissions",Climate change and energy,M,76
E1-7,"GHG removals and GHG mitigation 
projects financed through carbon",Climate change and energy,M,76
,credits,,,
E1-8,Internal carbon pricing,Climate change and energy,M,72
