0,1,2,3
Covered disclosure requirements,,,
Disclosure requirement,,Comments,Page number
General information,,,
BP-1,General basis for preparation of Group sustainability statements,,49
BP-2,Disclosures in relation to specific circumstances,,49
GOV-1,"Role of the administrative, management and supervisory bodies",,50
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s 
administrative, management and supervisory bodies",,56
GOV-3,Integration of sustainability-related performance in incentive schemes,,58
GOV-4,Statement on due diligence,,58
GOV-5,Risk management and internal controls over sustainability reporting,,58
SBM-1,"Strategy, business model and value chain","Except for disclosures on 
paragraph 40 (b-d iv), which",59
,,"according to EFRAG FAQ are 
not applicable as at 31",
,,December 2024.,
SBM-2,Interests and views of stakeholders,,61
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and 
business model",,63
E1 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and 
business model",,69
E4 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and 
business model",,72
S1 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and 
business model",,76
S4 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and 
business model",,77
IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities",,77
E1 IRO-1,"Description of the processes to identify and assess material climate-related impacts, 
risks and opportunities",,80
E2 IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities relating to pollution",,80
E3 IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities relating to water and marine resources",,81
E4 IRO-1,"Description of the processes to identify and assess material biodiversity and 
ecosystem-related impacts, risks, dependencies and opportunities",,81
E5 IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities relating to resource use and circular economy",,81
G1 IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities relating to business conduct",,82
IRO-2,Covered disclosure requirements,,82
Environmental disclosures,,,
,Disclosures pursuant to Article 8 of Regulation 2020/852 (EU Taxonomy),,91
E1-1,Transition plan for climate change mitigation,,94
E1-2,Policies related to climate change mitigation and adaptation,,94
