0,1,2
Disclosure requirement,Comments,Page number
"Actions and resources in relation to climate change policies 
E1-3",,96
"Targets related to climate change mitigation and adaptation 
E1-4",,97
"Gross Scopes 1, 2, 3 and Total GHG emissions 
E1-6",,101
"GHG removals and GHG mitigation projects financed through CO2 credits 
E1-7",,110
"Anticipated financial effects from material physical and transition risks and potential 
E1-9 
climate-related opportunities","Disclosures are not reported 
as at 31 December 2024 in",
,"accordance with the relief 
provided for phased-in",
,disclosure requirements.,
"Transition plan and consideration of biodiversity and ecosystems in strategy and 
E4-1 
business model",,111
"Policies related to biodiversity and ecosystems 
E4-2",,111
"Actions and resources related to biodiversity and ecosystems 
E4-3",,112
"Targets related to biodiversity and ecosystems 
E4-4",,113
"Anticipated financial effects from material biodiversity and ecosystem-related 
E4-6 
impacts, risks and opportunities","Except for disclosures on 
paragraph 45 (a-c), which are",114
,"not reported as at 31 
December 2024 in",
,"accordance with the relief 
provided for phased-in",
,disclosure requirements.,
"Entity-specific disclosure of the €300bn target 
ESD",,115
Social disclosures,,
"Policies related to own workforce 
S1-1",,118
"Processes for engaging with own workforce and workers’ representatives about 
S1-2 
impacts",,119
"Processes to remediate negative impacts and channels for own workforce to raise 
S1-3 
concerns",,120
"Taking action on material impacts on own workforce, and approaches to managing 
S1-4 
material risks and pursuing material opportunities related to own workforce, and",,123
effectiveness of those actions,,
"Targets related to managing material negative impacts, advancing positive impacts, 
S1-5 
and managing material risks and opportunities",,124
"Characteristics of the undertaking’s employees 
S1-6",,124
"Collective bargaining coverage and social dialogue 
S1-8",,126
"Diversity 
S1-9",,128
"Adequate wages 
S1-10",,130
"Persons with disabilities 
S1-12",,130
"Training and skills development metrics 
S1-13",,131
"Health and safety metrics 
S1-14","Except for disclosures on 
para. 88 (a-e), which do not",134
,"need to be reported as at 31 
December 2024 in",
,"accordance with the relief 
provided for phased-in",
,disclosure requirements.,
"Work-life balance metrics 
S1-15",,134
"Remuneration 
S1-16",,136
"Incidents, complaints and severe human rights impacts  
S1-17",,137
